,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
175,1,management,married,tertiary,no,258,no,no,cellular,16,sep,313,2,90,5,success,2
176,1,technician,married,secondary,no,836,yes,no,cellular,27,aug,101,4,-1,0,unknown,1
177,1,services,single,tertiary,no,1722,no,no,cellular,29,jul,400,4,-1,0,unknown,1
178,1,services,married,secondary,no,203,yes,no,cellular,29,jul,294,1,131,2,other,1
179,1,blue-collar,married,secondary,no,355,yes,no,unknown,16,may,1000,3,-1,0,unknown,1
180,1,blue-collar,married,primary,no,3,yes,no,cellular,17,apr,306,1,-1,0,unknown,1
181,1,management,married,tertiary,no,56,yes,no,cellular,15,jul,227,5,-1,0,unknown,1
182,1,management,divorced,primary,no,624,no,no,unknown,5,jun,261,1,-1,0,unknown,1
183,1,blue-collar,single,secondary,no,1859,yes,no,cellular,18,may,101,2,-1,0,unknown,1
184,1,blue-collar,single,secondary,no,330,yes,no,cellular,15,may,240,2,-1,0,unknown,1
185,1,management,married,tertiary,no,9547,no,no,cellular,5,aug,695,5,-1,0,unknown,1
186,1,services,married,secondary,no,50,no,no,cellular,21,aug,200,4,-1,0,unknown,1
187,1,technician,single,secondary,no,266,yes,no,unknown,3,jun,688,2,-1,0,unknown,2
188,1,technician,married,secondary,no,2135,no,no,cellular,23,aug,172,7,-1,0,unknown,1
189,1,services,married,secondary,no,0,no,no,cellular,25,jul,62,3,-1,0,unknown,1
190,1,housemaid,married,secondary,no,0,yes,no,cellular,4,feb,117,1,171,3,other,1
191,1,management,single,tertiary,no,418,yes,no,cellular,7,aug,164,1,-1,0,unknown,1
192,1,technician,married,primary,no,556,no,yes,cellular,20,nov,905,1,-1,0,unknown,1
193,1,services,single,secondary,no,176,no,no,cellular,6,aug,245,1,-1,0,unknown,2
194,1,technician,single,secondary,no,0,yes,no,cellular,11,may,383,1,-1,0,unknown,1
195,0,unknown,married,unknown,no,2305,no,no,telephone,6,sep,323,1,-1,0,unknown,1
196,1,technician,married,secondary,no,283,no,no,cellular,18,aug,237,15,-1,0,unknown,1
197,1,admin.,single,secondary,no,2123,yes,no,cellular,19,may,465,1,-1,0,unknown,2
198,1,management,single,tertiary,no,1835,no,no,cellular,28,aug,111,9,-1,0,unknown,1
199,1,unknown,married,primary,no,936,no,no,unknown,21,may,86,5,-1,0,unknown,1
200,1,blue-collar,married,unknown,no,269,no,no,cellular,11,jul,632,2,113,5,other,2
201,1,blue-collar,married,secondary,no,135,no,no,unknown,12,jun,174,2,-1,0,unknown,1
202,1,services,single,secondary,no,744,no,no,unknown,13,jun,262,2,-1,0,unknown,1
203,1,blue-collar,married,secondary,no,0,yes,yes,cellular,4,feb,202,1,-1,0,unknown,1
204,1,technician,married,secondary,no,2034,no,no,unknown,17,jun,186,3,-1,0,unknown,1
205,1,admin.,single,secondary,no,697,yes,no,unknown,14,may,13,3,-1,0,unknown,1
206,1,management,married,secondary,no,113,no,no,cellular,27,aug,57,6,-1,0,unknown,1
207,1,services,married,secondary,no,285,no,no,cellular,21,aug,197,6,-1,0,unknown,1
208,1,technician,married,secondary,no,710,no,no,cellular,7,aug,119,3,-1,0,unknown,1
209,1,management,married,tertiary,no,2175,yes,no,cellular,19,jul,679,2,-1,0,unknown,1
210,0,admin.,married,secondary,no,176,no,no,cellular,20,aug,207,3,92,1,success,2
211,1,services,single,secondary,no,328,no,no,cellular,2,feb,88,1,-1,0,unknown,1
212,1,technician,married,tertiary,no,309,no,no,cellular,8,aug,340,5,-1,0,unknown,1
213,0,self-employed,married,primary,no,18,no,no,cellular,12,jul,432,1,-1,0,unknown,1
214,1,blue-collar,single,primary,no,1,no,no,cellular,21,aug,53,6,-1,0,unknown,1
215,1,services,married,secondary,no,78,no,yes,cellular,25,aug,92,15,-1,0,unknown,1
216,1,blue-collar,married,primary,no,173,yes,no,unknown,15,may,243,3,-1,0,unknown,1
217,1,admin.,married,secondary,no,762,yes,no,cellular,15,may,412,1,-1,0,unknown,1
218,1,management,single,secondary,no,277,no,no,cellular,26,jul,260,2,-1,0,unknown,1
219,1,blue-collar,married,primary,no,0,yes,no,unknown,26,may,33,1,-1,0,unknown,1
220,0,blue-collar,married,secondary,no,1460,no,no,cellular,6,aug,172,2,-1,0,unknown,2
221,1,technician,married,secondary,no,256,yes,no,unknown,20,may,526,2,-1,0,unknown,1
222,1,blue-collar,married,secondary,no,875,yes,no,cellular,16,apr,263,1,308,1,failure,1
223,1,self-employed,single,secondary,no,33,no,no,cellular,20,aug,233,1,-1,0,unknown,1
224,1,management,married,secondary,no,282,yes,no,unknown,27,may,941,1,-1,0,unknown,2
225,1,blue-collar,married,secondary,no,272,yes,no,unknown,29,may,479,2,-1,0,unknown,1
226,1,admin.,married,secondary,no,1031,yes,no,unknown,20,jun,13,3,-1,0,unknown,1
227,1,technician,married,tertiary,no,1194,yes,no,unknown,12,may,304,1,-1,0,unknown,1
228,1,services,single,secondary,no,97,yes,no,cellular,16,nov,84,1,-1,0,unknown,1
229,1,retired,married,secondary,no,264,no,no,cellular,21,aug,159,1,-1,0,unknown,1
230,1,admin.,divorced,secondary,no,192,yes,no,cellular,13,may,274,1,183,2,failure,1
231,1,admin.,divorced,secondary,no,765,yes,no,unknown,15,may,183,1,-1,0,unknown,1
232,1,blue-collar,single,primary,no,0,no,no,cellular,28,jul,210,6,-1,0,unknown,1
233,1,blue-collar,married,tertiary,no,6,yes,no,cellular,18,jul,158,3,-1,0,unknown,1
234,1,admin.,single,secondary,no,-1037,yes,yes,unknown,23,may,105,3,-1,0,unknown,1
235,0,technician,married,secondary,no,603,no,no,cellular,2,feb,90,1,264,2,failure,1
236,1,admin.,divorced,secondary,no,0,yes,no,cellular,6,jul,283,5,-1,0,unknown,1
237,1,blue-collar,divorced,secondary,no,345,yes,no,cellular,10,may,189,1,368,2,failure,1
238,0,retired,married,tertiary,no,2757,no,no,cellular,5,feb,327,2,-1,0,unknown,1
239,1,management,single,tertiary,no,3767,yes,no,cellular,9,aug,208,2,128,2,failure,1
240,1,admin.,married,secondary,no,162,yes,no,cellular,29,jul,107,4,-1,0,unknown,1
241,1,technician,married,secondary,no,157,no,no,telephone,20,aug,156,11,-1,0,unknown,1
242,1,services,married,secondary,no,458,yes,no,cellular,18,nov,114,2,-1,0,unknown,1
243,1,blue-collar,divorced,primary,no,706,yes,no,unknown,16,may,111,4,-1,0,unknown,1
244,1,technician,single,tertiary,no,-530,yes,yes,unknown,9,may,315,5,-1,0,unknown,1
245,1,services,married,secondary,no,340,no,no,unknown,26,may,300,1,-1,0,unknown,1
246,1,management,single,tertiary,no,0,no,no,cellular,8,aug,457,1,-1,0,unknown,2
247,1,services,single,secondary,no,67,no,no,cellular,29,jan,165,2,-1,0,unknown,1
248,1,admin.,single,secondary,no,235,yes,no,unknown,15,may,119,3,-1,0,unknown,1
249,1,management,married,secondary,no,1445,yes,no,cellular,31,jul,112,6,-1,0,unknown,1
250,1,blue-collar,married,secondary,no,992,no,no,cellular,7,jul,684,1,-1,0,unknown,2
251,1,blue-collar,single,secondary,no,950,yes,no,cellular,12,may,8,5,360,2,other,1
252,1,management,married,tertiary,no,2052,yes,no,cellular,18,nov,175,1,-1,0,unknown,1
253,1,admin.,married,secondary,no,6674,yes,no,cellular,19,nov,486,1,-1,0,unknown,1
254,1,technician,single,secondary,no,529,yes,no,cellular,28,jul,499,2,-1,0,unknown,1
255,1,technician,married,secondary,no,511,yes,no,unknown,24,may,201,4,-1,0,unknown,1
256,1,blue-collar,single,secondary,no,853,yes,no,unknown,5,jun,35,5,-1,0,unknown,1
257,1,management,married,secondary,no,26,no,no,unknown,20,jun,8,1,-1,0,unknown,1
258,0,retired,married,secondary,no,1756,no,no,cellular,9,jul,107,1,-1,0,unknown,1
259,1,blue-collar,single,tertiary,no,782,no,no,cellular,6,aug,94,3,-1,0,unknown,1
260,1,services,single,secondary,no,71,yes,no,cellular,20,apr,225,3,-1,0,unknown,1
261,1,technician,married,secondary,no,752,no,no,cellular,4,nov,119,2,-1,0,unknown,2
262,1,blue-collar,divorced,primary,no,34,yes,no,cellular,18,may,344,2,-1,0,unknown,1
263,1,management,single,tertiary,no,556,no,no,cellular,29,jan,158,1,256,2,other,1
264,0,retired,married,secondary,no,5299,no,no,cellular,29,jun,156,1,-1,0,unknown,2
265,1,management,single,tertiary,no,33,yes,no,unknown,18,may,108,26,-1,0,unknown,1
266,1,technician,single,tertiary,no,11323,no,no,cellular,18,aug,432,10,-1,0,unknown,2
267,1,management,divorced,tertiary,no,282,no,no,unknown,20,jun,114,4,-1,0,unknown,1
268,1,blue-collar,married,secondary,no,-413,yes,no,unknown,15,may,222,2,-1,0,unknown,1
269,1,admin.,married,secondary,no,1828,no,no,cellular,11,jun,278,1,-1,0,unknown,2
270,1,entrepreneur,single,tertiary,no,1957,no,no,cellular,9,jun,665,1,-1,0,unknown,2
271,1,management,married,secondary,no,684,no,yes,cellular,13,jul,156,1,-1,0,unknown,1
272,1,management,married,tertiary,no,0,no,no,cellular,4,feb,10,5,-1,0,unknown,1
273,1,blue-collar,married,unknown,no,4531,no,no,cellular,13,sep,272,1,32,3,success,2
274,1,blue-collar,single,secondary,no,350,yes,no,unknown,3,jun,968,6,-1,0,unknown,1
275,1,services,single,secondary,no,-71,no,no,cellular,6,jan,239,1,-1,0,unknown,1
276,1,technician,married,secondary,no,-1181,yes,yes,unknown,19,jun,55,2,-1,0,unknown,1
277,1,services,married,secondary,no,118,yes,no,unknown,29,may,161,1,-1,0,unknown,1
278,1,services,married,secondary,no,-98,no,yes,cellular,29,jul,174,2,-1,0,unknown,1
279,1,blue-collar,single,primary,yes,-111,no,no,cellular,6,feb,17,8,-1,0,unknown,1
280,1,management,married,tertiary,no,6966,yes,no,cellular,18,apr,138,2,323,1,failure,1
281,1,technician,single,secondary,no,596,no,yes,cellular,14,aug,280,2,-1,0,unknown,1
282,1,services,single,primary,no,1481,yes,no,unknown,11,may,39,2,-1,0,unknown,1
283,1,technician,married,tertiary,no,0,yes,no,unknown,8,may,168,1,-1,0,unknown,1
284,1,blue-collar,married,secondary,no,-2431,yes,no,cellular,8,may,297,2,-1,0,unknown,1
285,1,management,single,tertiary,no,396,yes,no,cellular,4,feb,14,5,-1,0,unknown,1
286,1,technician,divorced,secondary,no,34,yes,no,cellular,25,jul,106,6,-1,0,unknown,1
287,1,management,married,tertiary,no,2189,no,no,cellular,3,feb,17,6,-1,0,unknown,1
288,1,technician,single,secondary,no,162,yes,no,cellular,6,feb,280,2,267,4,failure,1
289,1,technician,married,secondary,no,799,no,no,cellular,12,aug,126,1,114,1,success,1
290,1,technician,single,tertiary,no,1092,yes,no,cellular,14,jul,1021,2,-1,0,unknown,2
291,1,technician,single,tertiary,no,3829,yes,no,cellular,17,apr,802,2,-1,0,unknown,1
292,1,management,single,tertiary,no,27,yes,no,cellular,14,may,570,4,373,3,failure,2
293,1,blue-collar,single,secondary,no,0,yes,no,unknown,12,may,480,1,-1,0,unknown,1
294,1,services,married,primary,no,6497,yes,no,cellular,15,apr,677,2,177,1,failure,1
295,1,blue-collar,married,secondary,no,2121,yes,no,cellular,9,may,1645,1,260,1,failure,1
296,1,blue-collar,single,primary,no,1074,no,yes,cellular,8,jul,260,3,-1,0,unknown,1
297,1,unemployed,divorced,secondary,no,199,no,no,cellular,23,jul,187,1,-1,0,unknown,1
298,1,retired,married,tertiary,no,2239,no,no,cellular,18,jun,122,1,-1,0,unknown,1
299,1,management,divorced,tertiary,no,0,no,no,cellular,20,nov,856,1,-1,0,unknown,1
