checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,personal-status,class-label
no checking account,13,existing credits paid back duly till now,car (used),2280,.. >= 1000 DM,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,2263,unknown/ no savings account,... < 1 year,2,none,4,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
0 <= ... < 200 DM,46,no credits taken/ all credits paid back duly,business,1565,... < 100 DM,1 <= ... < 4 years,1,none,2,real estate,39,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,divorced/separated,2
< 0 DM,16,existing credits paid back duly till now,radio/television,388,... < 100 DM,1 <= ... < 4 years,4,none,4,if not A121 : building society savings agreement/ life insurance,22,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married,2
no checking account,24,existing credits paid back duly till now,radio/television,1091,.. >= 1000 DM,.. >= 7 years,4,none,2,real estate,31,none,own,1,skilled employee / official,1,none,yes,male,married/widowed,1
no checking account,20,critical account/ other credits existing (not at this bank),furniture/equipment,2913,unknown/ no savings account,.. >= 7 years,2,none,1,real estate,37,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,female,divorced/separated/married,1
no checking account,32,existing credits paid back duly till now,radio/television,1358,unknown/ no savings account,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,26,delay in paying off in the past,business,7654,100 <= ... < 500 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,30,existing credits paid back duly till now,radio/television,8255,... < 100 DM,4 <= ... < 7 years,3,none,2,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,none,yes,male,single,1
... >= 200 DM / salary assignments for at least 1 year,13,existing credits paid back duly till now,car (new),2377,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,36,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,16,existing credits paid back duly till now,business,3737,... < 100 DM,1 <= ... < 4 years,1,none,2,real estate,37,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed,1
< 0 DM,52,existing credits paid back duly till now,furniture/equipment,2674,... < 100 DM,.. >= 7 years,4,none,3,unknown / no property,41,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,14,existing credits paid back duly till now,business,1220,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed,2
< 0 DM,43,existing credits paid back duly till now,car (new),8085,... < 100 DM,4 <= ... < 7 years,2,none,2,unknown / no property,46,none,rent,1,skilled employee / official,2,none,yes,male,single,1
no checking account,17,existing credits paid back duly till now,car (new),3590,... < 100 DM,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,2
0 <= ... < 200 DM,40,delay in paying off in the past,business,9855,... < 100 DM,1 <= ... < 4 years,1,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,2
no checking account,8,existing credits paid back duly till now,business,1026,100 <= ... < 500 DM,.. >= 7 years,4,none,2,if not A121 : building society savings agreement/ life insurance,33,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,48,delay in paying off in the past,business,8225,... < 100 DM,.. >= 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",36,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,11,existing credits paid back duly till now,furniture/equipment,2194,100 <= ... < 500 DM,... < 1 year,4,none,2,if not A121 : building society savings agreement/ life insurance,22,none,rent,1,skilled employee / official,1,none,yes,male,married/widowed,1
... >= 200 DM / salary assignments for at least 1 year,11,existing credits paid back duly till now,radio/television,1337,... < 100 DM,1 <= ... < 4 years,4,none,3,if not A121 : building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,none,yes,male,single,1
0 <= ... < 200 DM,45,existing credits paid back duly till now,car (used),4233,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,2
< 0 DM,11,existing credits paid back duly till now,education,1683,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",55,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed,1
< 0 DM,13,critical account/ other credits existing (not at this bank),radio/television,1433,... < 100 DM,1 <= ... < 4 years,1,none,2,if not A121 : building society savings agreement/ life insurance,28,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,single,2
0 <= ... < 200 DM,43,existing credits paid back duly till now,car (new),10568,... < 100 DM,1 <= ... < 4 years,1,none,2,"if not A121/A122 : car or other, not in attribute 6",49,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
< 0 DM,11,all credits at this bank paid back duly,radio/television,1306,.. >= 1000 DM,... < 1 year,4,none,2,"if not A121/A122 : car or other, not in attribute 6",38,bank,own,1,unskilled - resident,2,none,yes,male,single,2
no checking account,31,critical account/ other credits existing (not at this bank),car (new),1237,... < 100 DM,.. >= 7 years,1,none,4,real estate,65,none,own,3,skilled employee / official,1,none,yes,male,single,1
no checking account,14,critical account/ other credits existing (not at this bank),repairs,3362,... < 100 DM,4 <= ... < 7 years,4,none,1,if not A121 : building society savings agreement/ life insurance,32,none,own,2,skilled employee / official,1,none,yes,male,single,1
0 <= ... < 200 DM,10,existing credits paid back duly till now,radio/television,1609,... < 100 DM,.. >= 7 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",56,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
no checking account,13,existing credits paid back duly till now,radio/television,1774,500 <= ... < 1000 DM,.. >= 7 years,4,none,2,real estate,36,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,23,existing credits paid back duly till now,business,3320,unknown/ no savings account,4 <= ... < 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",39,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
0 <= ... < 200 DM,28,no credits taken/ all credits paid back duly,business,2973,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,29,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,20,existing credits paid back duly till now,business,1332,... < 100 DM,... < 1 year,4,none,4,real estate,38,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,13,existing credits paid back duly till now,business,6746,... < 100 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,none,yes,male,single,2
no checking account,22,critical account/ other credits existing (not at this bank),education,3236,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,25,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
0 <= ... < 200 DM,9,existing credits paid back duly till now,business,2158,... < 100 DM,4 <= ... < 7 years,3,none,3,real estate,28,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
... >= 200 DM / salary assignments for at least 1 year,9,existing credits paid back duly till now,furniture/equipment,1279,500 <= ... < 1000 DM,... < 1 year,4,none,2,real estate,25,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",no,male,married/widowed,1
no checking account,40,existing credits paid back duly till now,car (new),1146,unknown/ no savings account,.. >= 7 years,4,none,2,real estate,30,none,own,1,skilled employee / official,1,none,yes,male,single,1
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,2149,... < 100 DM,... < 1 year,4,none,3,"if not A121/A122 : car or other, not in attribute 6",32,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married,1
no checking account,19,existing credits paid back duly till now,radio/television,3709,... < 100 DM,... < 1 year,2,none,2,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
no checking account,45,delay in paying off in the past,business,15164,... < 100 DM,.. >= 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",59,none,own,2,skilled employee / official,1,none,yes,male,single,1
no checking account,42,existing credits paid back duly till now,furniture/equipment,12183,... < 100 DM,1 <= ... < 4 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,2
no checking account,48,existing credits paid back duly till now,car (new),3790,... < 100 DM,4 <= ... < 7 years,4,co-applicant,3,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single,1
0 <= ... < 200 DM,17,critical account/ other credits existing (not at this bank),furniture/equipment,2141,... < 100 DM,1 <= ... < 4 years,3,none,2,real estate,31,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,9,existing credits paid back duly till now,radio/television,2037,... < 100 DM,unemployed,2,none,4,"if not A121/A122 : car or other, not in attribute 6",45,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
no checking account,13,existing credits paid back duly till now,radio/television,1567,... < 100 DM,... < 1 year,3,none,2,real estate,29,none,own,1,skilled employee / official,1,none,yes,male,single,1
< 0 DM,33,existing credits paid back duly till now,furniture/equipment,4588,... < 100 DM,... < 1 year,1,none,2,if not A121 : building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,18,delay in paying off in the past,car (new),1678,... < 100 DM,.. >= 7 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",29,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed,2
no checking account,13,critical account/ other credits existing (not at this bank),furniture/equipment,2848,... < 100 DM,4 <= ... < 7 years,1,none,1,real estate,47,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
no checking account,7,critical account/ other credits existing (not at this bank),radio/television,1166,... < 100 DM,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married,1
no checking account,43,existing credits paid back duly till now,radio/television,2865,... < 100 DM,.. >= 7 years,4,none,1,real estate,32,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,23,no credits taken/ all credits paid back duly,business,2775,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",29,none,own,2,skilled employee / official,1,none,yes,male,single,1
0 <= ... < 200 DM,29,no credits taken/ all credits paid back duly,radio/television,4638,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",33,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,2
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,2153,... < 100 DM,1 <= ... < 4 years,2,none,4,real estate,44,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,8,existing credits paid back duly till now,radio/television,1926,100 <= ... < 500 DM,1 <= ... < 4 years,3,none,2,real estate,33,none,own,1,unskilled - resident,1,none,no,male,single,1
no checking account,5,critical account/ other credits existing (not at this bank),car (new),1317,100 <= ... < 500 DM,1 <= ... < 4 years,1,none,2,real estate,46,none,own,2,unskilled - resident,1,none,no,male,single,1
no checking account,16,existing credits paid back duly till now,radio/television,1740,... < 100 DM,4 <= ... < 7 years,4,none,4,real estate,64,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),business,4266,... < 100 DM,... < 1 year,2,none,1,if not A121 : building society savings agreement/ life insurance,31,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,2
< 0 DM,20,existing credits paid back duly till now,furniture/equipment,1891,unknown/ no savings account,... < 1 year,2,none,1,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,2
no checking account,13,existing credits paid back duly till now,business,2947,unknown/ no savings account,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",37,none,own,2,skilled employee / official,1,none,yes,male,single,1
no checking account,45,critical account/ other credits existing (not at this bank),business,2629,100 <= ... < 500 DM,1 <= ... < 4 years,1,none,2,real estate,32,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1
no checking account,12,critical account/ other credits existing (not at this bank),car (new),4044,100 <= ... < 500 DM,1 <= ... < 4 years,3,none,2,real estate,27,none,rent,2,skilled employee / official,1,none,yes,male,divorced/separated,1
< 0 DM,13,existing credits paid back duly till now,radio/television,1152,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
no checking account,12,existing credits paid back duly till now,car (new),2134,unknown/ no savings account,4 <= ... < 7 years,1,none,3,"if not A121/A122 : car or other, not in attribute 6",36,stores,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
... >= 200 DM / salary assignments for at least 1 year,5,existing credits paid back duly till now,radio/television,473,... < 100 DM,... < 1 year,3,guarantor,2,real estate,37,none,own,1,unskilled - resident,1,none,no,male,single,1
no checking account,25,critical account/ other credits existing (not at this bank),radio/television,5699,unknown/ no savings account,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,28,none,rent,2,skilled employee / official,2,none,yes,male,single,1
0 <= ... < 200 DM,25,existing credits paid back duly till now,radio/television,2394,... < 100 DM,... < 1 year,1,none,1,"if not A121/A122 : car or other, not in attribute 6",26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
< 0 DM,52,existing credits paid back duly till now,car (used),6420,... < 100 DM,... < 1 year,2,none,1,if not A121 : building society savings agreement/ life insurance,38,none,own,1,skilled employee / official,1,none,yes,male,single,2
no checking account,8,existing credits paid back duly till now,radio/television,1446,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,2,real estate,35,none,own,1,skilled employee / official,1,none,no,male,single,1
no checking account,9,existing credits paid back duly till now,car (new),2616,500 <= ... < 1000 DM,.. >= 7 years,4,none,3,real estate,47,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,19,existing credits paid back duly till now,education,2102,500 <= ... < 1000 DM,... < 1 year,4,none,1,"if not A121/A122 : car or other, not in attribute 6",51,bank,own,2,skilled employee / official,2,none,yes,male,single,2
< 0 DM,53,existing credits paid back duly till now,business,5047,... < 100 DM,.. >= 7 years,4,co-applicant,2,unknown / no property,25,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,15,existing credits paid back duly till now,furniture/equipment,1384,... < 100 DM,... < 1 year,4,none,4,real estate,23,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married,2
< 0 DM,24,critical account/ other credits existing (not at this bank),radio/television,947,... < 100 DM,... < 1 year,4,none,1,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married,2
no checking account,52,existing credits paid back duly till now,business,12323,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",33,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,2
< 0 DM,48,existing credits paid back duly till now,car (new),13505,... < 100 DM,1 <= ... < 4 years,2,co-applicant,2,unknown / no property,24,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,48,existing credits paid back duly till now,business,1317,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,14,existing credits paid back duly till now,furniture/equipment,969,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,none,yes,male,single,1
0 <= ... < 200 DM,11,existing credits paid back duly till now,business,1573,500 <= ... < 1000 DM,1 <= ... < 4 years,3,none,2,real estate,35,none,own,1,unskilled - resident,2,none,no,male,single,1
0 <= ... < 200 DM,25,no credits taken/ all credits paid back duly,business,1581,... < 100 DM,... < 1 year,2,none,3,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
< 0 DM,9,critical account/ other credits existing (not at this bank),furniture/equipment,430,... < 100 DM,1 <= ... < 4 years,4,none,3,if not A121 : building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,none,no,female,divorced/separated/married,2
< 0 DM,4,existing credits paid back duly till now,car (new),1845,... < 100 DM,1 <= ... < 4 years,3,guarantor,2,if not A121 : building society savings agreement/ life insurance,36,none,rent,1,unskilled - resident,1,none,yes,male,single,1
no checking account,11,existing credits paid back duly till now,radio/television,1846,... < 100 DM,1 <= ... < 4 years,2,none,4,real estate,52,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,44,critical account/ other credits existing (not at this bank),furniture/equipment,3958,... < 100 DM,... < 1 year,4,none,3,unknown / no property,53,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single,1
no checking account,21,existing credits paid back duly till now,furniture/equipment,6380,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes,male,single,1
no checking account,20,critical account/ other credits existing (not at this bank),furniture/equipment,6046,... < 100 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",35,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,12,existing credits paid back duly till now,radio/television,1594,unknown/ no savings account,1 <= ... < 4 years,4,none,2,real estate,57,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,8,existing credits paid back duly till now,car (new),1773,... < 100 DM,... < 1 year,1,none,2,"if not A121/A122 : car or other, not in attribute 6",22,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married,2
no checking account,9,critical account/ other credits existing (not at this bank),car (new),1657,500 <= ... < 1000 DM,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",42,none,rent,3,skilled employee / official,1,none,yes,male,single,1
0 <= ... < 200 DM,17,critical account/ other credits existing (not at this bank),car (new),1783,100 <= ... < 500 DM,4 <= ... < 7 years,1,none,4,real estate,24,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed,1
no checking account,30,delay in paying off in the past,furniture/equipment,3014,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",27,stores,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1261,... < 100 DM,... < 1 year,3,none,2,real estate,34,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,2
no checking account,23,existing credits paid back duly till now,car (used),3640,100 <= ... < 500 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",42,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
< 0 DM,31,existing credits paid back duly till now,business,6079,... < 100 DM,4 <= ... < 7 years,4,co-applicant,1,unknown / no property,39,none,own,1,skilled employee / official,1,none,yes,male,single,2
0 <= ... < 200 DM,57,delay in paying off in the past,business,6348,... < 100 DM,unemployed,4,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
no checking account,43,critical account/ other credits existing (not at this bank),repairs,13762,... < 100 DM,4 <= ... < 7 years,2,none,2,if not A121 : building society savings agreement/ life insurance,40,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,56,delay in paying off in the past,business,6099,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,44,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
< 0 DM,9,critical account/ other credits existing (not at this bank),education,1559,... < 100 DM,1 <= ... < 4 years,2,none,4,real estate,60,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,35,delay in paying off in the past,business,10711,... < 100 DM,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",36,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,6,existing credits paid back duly till now,car (new),1125,... < 100 DM,1 <= ... < 4 years,1,none,3,real estate,40,none,rent,1,unskilled - resident,1,none,yes,female,divorced/separated/married,1
no checking account,26,existing credits paid back duly till now,business,1906,... < 100 DM,1 <= ... < 4 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed,1
0 <= ... < 200 DM,8,existing credits paid back duly till now,radio/television,1286,... < 100 DM,1 <= ... < 4 years,3,none,2,real estate,43,none,own,1,unskilled - resident,1,none,no,male,single,1
no checking account,13,existing credits paid back duly till now,business,2904,... < 100 DM,unemployed,2,none,3,"if not A121/A122 : car or other, not in attribute 6",56,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,divorced/separated,1
0 <= ... < 200 DM,11,existing credits paid back duly till now,car (new),3028,... < 100 DM,1 <= ... < 4 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,divorced/separated,1
0 <= ... < 200 DM,45,delay in paying off in the past,business,3175,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
no checking account,11,existing credits paid back duly till now,car (new),1800,... < 100 DM,.. >= 7 years,2,none,4,real estate,36,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
no checking account,27,delay in paying off in the past,car (new),1433,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,37,stores,own,2,skilled employee / official,1,none,yes,male,single,1
no checking account,26,delay in paying off in the past,furniture/equipment,4414,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,skilled employee / official,1,none,yes,male,single,1
no checking account,14,no credits taken/ all credits paid back duly,business,6099,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,none,yes,male,single,1
0 <= ... < 200 DM,21,delay in paying off in the past,furniture/equipment,4874,... < 100 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,24,critical account/ other credits existing (not at this bank),car (new),3150,unknown/ no savings account,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",43,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,divorced/separated/married,1
