checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,personal-status,class-label
0 <= ... < 200 DM,14,existing credits paid back duly till now,car (used),2056,unknown/ no savings account,1 <= ... < 4 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",23,stores,rent,1,skilled employee / official,1,none,yes,male,divorced/separated/married,2
< 0 DM,11,existing credits paid back duly till now,radio/television,3121,... < 100 DM,... < 1 year,1,none,3,"if not A121/A122 : car or other, not in attribute 6",22,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
no checking account,13,existing credits paid back duly till now,car (new),3786,unknown/ no savings account,4 <= ... < 7 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
no checking account,14,delay in paying off in the past,radio/television,3989,... < 100 DM,.. >= 7 years,4,none,2,if not A121 : building society savings agreement/ life insurance,33,none,rent,2,unskilled - resident,1,none,yes,male,single,1
0 <= ... < 200 DM,15,existing credits paid back duly till now,car (new),2419,... < 100 DM,... < 1 year,2,guarantor,1,if not A121 : building society savings agreement/ life insurance,28,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
0 <= ... < 200 DM,29,existing credits paid back duly till now,car (new),2586,unknown/ no savings account,... < 1 year,2,none,1,"if not A121/A122 : car or other, not in attribute 6",22,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,5704,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,25,none,own,1,skilled employee / official,1,none,yes,male,single,1
no checking account,21,all credits at this bank paid back duly,education,811,... < 100 DM,4 <= ... < 7 years,3,none,4,if not A121 : building society savings agreement/ life insurance,36,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,22,critical account/ other credits existing (not at this bank),car (new),1898,... < 100 DM,... < 1 year,3,none,2,if not A121 : building society savings agreement/ life insurance,24,stores,own,2,skilled employee / official,1,none,no,male,single,2
< 0 DM,16,no credits taken/ all credits paid back duly,education,7740,.. >= 1000 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",21,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
no checking account,36,no credits taken/ all credits paid back duly,car (new),7549,500 <= ... < 1000 DM,.. >= 7 years,2,none,2,unknown / no property,39,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,2
no checking account,9,existing credits paid back duly till now,furniture/equipment,1817,... < 100 DM,1 <= ... < 4 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,10,existing credits paid back duly till now,car (used),1675,... < 100 DM,... < 1 year,4,none,3,if not A121 : building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,none,yes,male,single,2
no checking account,7,critical account/ other credits existing (not at this bank),others,994,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,4,if not A121 : building society savings agreement/ life insurance,46,bank,rent,2,unskilled - resident,1,none,yes,male,single,1
no checking account,16,delay in paying off in the past,car (new),3335,100 <= ... < 500 DM,.. >= 7 years,1,none,4,if not A121 : building society savings agreement/ life insurance,44,none,own,1,skilled employee / official,2,none,yes,male,single,2
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,1749,... < 100 DM,1 <= ... < 4 years,3,none,2,if not A121 : building society savings agreement/ life insurance,36,none,own,1,unskilled - resident,1,none,yes,male,single,1
< 0 DM,25,existing credits paid back duly till now,car (new),2499,100 <= ... < 500 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",38,none,own,1,skilled employee / official,1,none,yes,male,single,1
no checking account,12,existing credits paid back duly till now,radio/television,2895,500 <= ... < 1000 DM,1 <= ... < 4 years,3,none,4,real estate,28,none,rent,1,unskilled - resident,1,none,yes,female,divorced/separated/married,1
0 <= ... < 200 DM,24,no credits taken/ all credits paid back duly,furniture/equipment,1426,unknown/ no savings account,... < 1 year,2,none,4,if not A121 : building society savings agreement/ life insurance,23,bank,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,2
no checking account,18,existing credits paid back duly till now,car (new),2459,... < 100 DM,1 <= ... < 4 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,male,single,1
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),furniture/equipment,3667,unknown/ no savings account,.. >= 7 years,1,guarantor,4,unknown / no property,47,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),radio/television,1769,... < 100 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,24,stores,rent,1,skilled employee / official,1,none,yes,male,single,1
< 0 DM,6,existing credits paid back duly till now,car (new),389,... < 100 DM,.. >= 7 years,2,guarantor,3,if not A121 : building society savings agreement/ life insurance,27,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married,1
< 0 DM,10,critical account/ other credits existing (not at this bank),furniture/equipment,2209,unknown/ no savings account,1 <= ... < 4 years,1,none,4,real estate,33,none,rent,2,skilled employee / official,1,none,yes,female,divorced/separated/married,2
0 <= ... < 200 DM,38,all credits at this bank paid back duly,retraining,5426,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,9,existing credits paid back duly till now,furniture/equipment,1250,.. >= 1000 DM,4 <= ... < 7 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married,1
no checking account,15,existing credits paid back duly till now,radio/television,1320,.. >= 1000 DM,... < 1 year,4,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married,1
no checking account,25,existing credits paid back duly till now,business,7147,... < 100 DM,.. >= 7 years,3,none,1,unknown / no property,40,bank,own,1,skilled employee / official,1,none,yes,male,single,2
< 0 DM,40,delay in paying off in the past,education,11416,... < 100 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,38,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single,2
0 <= ... < 200 DM,34,critical account/ other credits existing (not at this bank),furniture/equipment,3814,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
... >= 200 DM / salary assignments for at least 1 year,50,existing credits paid back duly till now,car (new),4265,100 <= ... < 500 DM,1 <= ... < 4 years,1,none,2,if not A121 : building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,2
0 <= ... < 200 DM,33,delay in paying off in the past,car (new),6836,500 <= ... < 1000 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",43,none,own,3,skilled employee / official,1,none,yes,male,single,1
no checking account,8,all credits at this bank paid back duly,car (used),1832,unknown/ no savings account,1 <= ... < 4 years,2,co-applicant,2,real estate,35,none,own,1,unskilled - resident,2,"yes, registered under the customers name",yes,male,married/widowed,1
< 0 DM,19,existing credits paid back duly till now,furniture/equipment,2592,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,2,unskilled - resident,1,none,yes,male,single,1
no checking account,15,existing credits paid back duly till now,furniture/equipment,1303,unknown/ no savings account,1 <= ... < 4 years,2,none,3,real estate,25,none,own,1,skilled employee / official,1,none,yes,male,single,2
< 0 DM,18,existing credits paid back duly till now,radio/television,981,... < 100 DM,... < 1 year,4,guarantor,3,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes,male,single,2
0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,3484,... < 100 DM,4 <= ... < 7 years,2,none,1,if not A121 : building society savings agreement/ life insurance,25,stores,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,2
0 <= ... < 200 DM,10,critical account/ other credits existing (not at this bank),car (new),664,unknown/ no savings account,1 <= ... < 4 years,1,none,4,unknown / no property,54,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married,1
no checking account,8,critical account/ other credits existing (not at this bank),radio/television,1238,... < 100 DM,.. >= 7 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",46,none,rent,3,unskilled - resident,1,none,yes,female,divorced/separated/married,1
< 0 DM,5,existing credits paid back duly till now,car (new),3272,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,25,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
0 <= ... < 200 DM,29,critical account/ other credits existing (not at this bank),car (new),11882,... < 100 DM,4 <= ... < 7 years,1,none,2,"if not A121/A122 : car or other, not in attribute 6",23,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
< 0 DM,32,delay in paying off in the past,radio/television,7467,... < 100 DM,4 <= ... < 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,31,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,24,critical account/ other credits existing (not at this bank),car (new),4150,unknown/ no savings account,4 <= ... < 7 years,1,none,2,real estate,25,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,37,critical account/ other credits existing (not at this bank),car (new),3622,... < 100 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,none,yes,male,single,1
no checking account,39,existing credits paid back duly till now,others,2918,unknown/ no savings account,1 <= ... < 4 years,2,none,4,unknown / no property,31,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,2
... >= 200 DM / salary assignments for at least 1 year,13,critical account/ other credits existing (not at this bank),radio/television,1232,unknown/ no savings account,.. >= 7 years,3,none,4,real estate,45,bank,for free,1,skilled employee / official,1,none,yes,male,single,1
< 0 DM,12,no credits taken/ all credits paid back duly,radio/television,1676,500 <= ... < 1000 DM,1 <= ... < 4 years,3,none,2,real estate,26,none,rent,1,unskilled - resident,1,none,yes,male,single,1
no checking account,52,existing credits paid back duly till now,car (used),3776,... < 100 DM,4 <= ... < 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",48,bank,for free,1,skilled employee / official,1,none,yes,male,single,1
< 0 DM,31,critical account/ other credits existing (not at this bank),car (new),1408,... < 100 DM,4 <= ... < 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",50,stores,rent,2,skilled employee / official,1,none,yes,male,divorced/separated,2
< 0 DM,12,delay in paying off in the past,radio/television,2740,... < 100 DM,.. >= 7 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",38,bank,own,1,skilled employee / official,1,none,yes,male,single,2
< 0 DM,16,existing credits paid back duly till now,radio/television,2788,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,3,real estate,34,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),1895,... < 100 DM,.. >= 7 years,4,none,2,unknown / no property,58,none,own,1,skilled employee / official,1,none,yes,male,single,1
no checking account,22,delay in paying off in the past,car (used),1130,... < 100 DM,unemployed,2,none,2,real estate,23,none,rent,2,skilled employee / official,1,none,yes,female,divorced/separated/married,1
0 <= ... < 200 DM,43,no credits taken/ all credits paid back duly,car (new),7713,unknown/ no savings account,.. >= 7 years,4,none,2,unknown / no property,38,none,own,1,skilled employee / official,1,none,yes,male,single,2
0 <= ... < 200 DM,17,delay in paying off in the past,car (new),2159,... < 100 DM,unemployed,2,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married,2
0 <= ... < 200 DM,28,existing credits paid back duly till now,radio/television,4050,.. >= 1000 DM,4 <= ... < 7 years,2,none,2,if not A121 : building society savings agreement/ life insurance,40,none,own,1,skilled employee / official,1,none,yes,male,single,1
no checking account,25,critical account/ other credits existing (not at this bank),business,2821,100 <= ... < 500 DM,.. >= 7 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",40,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,11,critical account/ other credits existing (not at this bank),car (used),3709,100 <= ... < 500 DM,4 <= ... < 7 years,1,none,4,real estate,59,none,own,2,unskilled - resident,1,none,yes,male,single,1
< 0 DM,35,critical account/ other credits existing (not at this bank),car (used),4369,100 <= ... < 500 DM,1 <= ... < 4 years,3,none,4,if not A121 : building society savings agreement/ life insurance,35,bank,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
< 0 DM,24,delay in paying off in the past,car (new),4182,.. >= 1000 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married,1
no checking account,13,existing credits paid back duly till now,car (new),2024,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,2,real estate,40,none,rent,1,skilled employee / official,1,none,yes,male,single,1
< 0 DM,14,delay in paying off in the past,business,1364,... < 100 DM,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,2
< 0 DM,11,existing credits paid back duly till now,car (used),2335,.. >= 1000 DM,4 <= ... < 7 years,2,co-applicant,4,if not A121 : building society savings agreement/ life insurance,54,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
< 0 DM,24,existing credits paid back duly till now,radio/television,1228,100 <= ... < 500 DM,.. >= 7 years,1,none,4,unknown / no property,24,bank,rent,2,skilled employee / official,1,none,yes,female,divorced/separated/married,1
0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,3856,... < 100 DM,4 <= ... < 7 years,2,none,2,real estate,27,none,own,1,skilled employee / official,1,none,yes,male,single,1
no checking account,10,critical account/ other credits existing (not at this bank),education,1046,... < 100 DM,1 <= ... < 4 years,2,none,4,real estate,29,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),car (new),1150,unknown/ no savings account,.. >= 7 years,1,none,4,if not A121 : building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,12,existing credits paid back duly till now,furniture/equipment,794,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",38,none,own,1,unskilled - resident,1,none,yes,male,single,1
< 0 DM,37,existing credits paid back duly till now,radio/television,2911,... < 100 DM,... < 1 year,3,none,2,if not A121 : building society savings agreement/ life insurance,28,none,rent,1,skilled employee / official,1,none,yes,male,divorced/separated,1
no checking account,13,all credits at this bank paid back duly,furniture/equipment,3190,... < 100 DM,1 <= ... < 4 years,3,none,2,real estate,36,none,own,2,skilled employee / official,1,none,yes,male,single,1
0 <= ... < 200 DM,26,no credits taken/ all credits paid back duly,radio/television,2358,... < 100 DM,... < 1 year,1,none,4,if not A121 : building society savings agreement/ life insurance,24,none,own,2,skilled employee / official,1,none,no,female,divorced/separated/married,2
no checking account,24,delay in paying off in the past,car (new),3627,500 <= ... < 1000 DM,.. >= 7 years,2,none,2,if not A121 : building society savings agreement/ life insurance,37,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,2
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),education,1547,... < 100 DM,4 <= ... < 7 years,4,none,2,if not A121 : building society savings agreement/ life insurance,38,bank,for free,2,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes,male,single,2
0 <= ... < 200 DM,17,existing credits paid back duly till now,furniture/equipment,3499,... < 100 DM,1 <= ... < 4 years,2,none,3,real estate,52,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed,1
no checking account,5,critical account/ other credits existing (not at this bank),radio/television,2011,... < 100 DM,.. >= 7 years,3,none,2,real estate,59,bank,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
< 0 DM,16,critical account/ other credits existing (not at this bank),radio/television,771,... < 100 DM,... < 1 year,3,none,4,if not A121 : building society savings agreement/ life insurance,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
0 <= ... < 200 DM,32,existing credits paid back duly till now,car (used),3828,100 <= ... < 500 DM,... < 1 year,2,none,1,real estate,26,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
< 0 DM,38,all credits at this bank paid back duly,repairs,4878,.. >= 1000 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,none,no,male,single,1
no checking account,12,critical account/ other credits existing (not at this bank),business,2807,500 <= ... < 1000 DM,4 <= ... < 7 years,2,none,2,if not A121 : building society savings agreement/ life insurance,45,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,38,all credits at this bank paid back duly,car (used),6448,unknown/ no savings account,.. >= 7 years,2,none,4,unknown / no property,31,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,2
... >= 200 DM / salary assignments for at least 1 year,14,delay in paying off in the past,car (new),3548,... < 100 DM,1 <= ... < 4 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,31,critical account/ other credits existing (not at this bank),car (new),3283,unknown/ no savings account,1 <= ... < 4 years,3,none,2,if not A121 : building society savings agreement/ life insurance,36,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,39,existing credits paid back duly till now,business,6072,unknown/ no savings account,4 <= ... < 7 years,4,none,2,real estate,34,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,24,critical account/ other credits existing (not at this bank),business,3609,100 <= ... < 500 DM,.. >= 7 years,1,none,2,real estate,30,none,own,2,skilled employee / official,1,none,no,male,single,1
no checking account,14,critical account/ other credits existing (not at this bank),car (new),3741,... < 100 DM,... < 1 year,3,none,4,real estate,37,none,rent,1,skilled employee / official,2,"yes, registered under the customers name",no,male,single,1
no checking account,9,critical account/ other credits existing (not at this bank),furniture/equipment,1327,... < 100 DM,4 <= ... < 7 years,3,none,4,real estate,29,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
no checking account,19,critical account/ other credits existing (not at this bank),car (new),1175,... < 100 DM,1 <= ... < 4 years,3,none,4,real estate,42,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married,1
... >= 200 DM / salary assignments for at least 1 year,11,existing credits paid back duly till now,repairs,1319,... < 100 DM,1 <= ... < 4 years,1,none,2,if not A121 : building society savings agreement/ life insurance,38,bank,own,1,skilled employee / official,2,none,yes,male,single,2
0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,2111,... < 100 DM,4 <= ... < 7 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes,male,single,1
0 <= ... < 200 DM,38,existing credits paid back duly till now,car (used),12139,100 <= ... < 500 DM,.. >= 7 years,2,none,1,if not A121 : building society savings agreement/ life insurance,27,none,rent,2,skilled employee / official,1,none,yes,male,single,2
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,2104,500 <= ... < 1000 DM,4 <= ... < 7 years,4,none,2,real estate,22,none,rent,1,skilled employee / official,1,none,yes,male,single,2
< 0 DM,32,existing credits paid back duly till now,car (new),3711,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,none,yes,male,single,2
no checking account,17,existing credits paid back duly till now,furniture/equipment,1009,... < 100 DM,... < 1 year,1,none,4,if not A121 : building society savings agreement/ life insurance,33,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,2
0 <= ... < 200 DM,15,no credits taken/ all credits paid back duly,car (new),3398,.. >= 1000 DM,... < 1 year,2,none,1,"if not A121/A122 : car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,yes,male,married/widowed,2
no checking account,25,all credits at this bank paid back duly,furniture/equipment,2001,... < 100 DM,... < 1 year,2,none,2,real estate,22,bank,rent,2,skilled employee / official,1,none,yes,male,divorced/separated,2
< 0 DM,21,critical account/ other credits existing (not at this bank),car (new),3357,... < 100 DM,4 <= ... < 7 years,3,none,2,real estate,38,stores,own,2,skilled employee / official,1,none,yes,male,single,1
< 0 DM,30,delay in paying off in the past,radio/television,2929,500 <= ... < 1000 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,none,yes,male,single,1
no checking account,15,existing credits paid back duly till now,radio/television,1632,... < 100 DM,1 <= ... < 4 years,2,none,1,real estate,26,bank,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,1869,... < 100 DM,1 <= ... < 4 years,4,none,1,"if not A121/A122 : car or other, not in attribute 6",21,none,own,1,skilled employee / official,1,none,yes,male,single,2
0 <= ... < 200 DM,22,no credits taken/ all credits paid back duly,radio/television,3227,unknown/ no savings account,4 <= ... < 7 years,1,none,2,if not A121 : building society savings agreement/ life insurance,34,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,14,existing credits paid back duly till now,furniture/equipment,3854,... < 100 DM,4 <= ... < 7 years,1,none,3,"if not A121/A122 : car or other, not in attribute 6",33,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,39,existing credits paid back duly till now,car (new),7469,100 <= ... < 500 DM,.. >= 7 years,4,co-applicant,2,unknown / no property,30,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,2
< 0 DM,22,no credits taken/ all credits paid back duly,domestic appliances,4593,... < 100 DM,unemployed,1,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,3,skilled employee / official,1,none,yes,female,divorced/separated/married,1
< 0 DM,22,critical account/ other credits existing (not at this bank),education,10373,... < 100 DM,.. >= 7 years,3,none,1,"if not A121/A122 : car or other, not in attribute 6",36,stores,own,2,skilled employee / official,1,none,yes,male,single,1
< 0 DM,12,all credits at this bank paid back duly,radio/television,944,... < 100 DM,1 <= ... < 4 years,2,none,3,real estate,26,none,rent,1,unskilled - resident,1,none,yes,male,married/widowed,1
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,2250,... < 100 DM,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",39,none,own,2,skilled employee / official,1,none,yes,male,single,1
0 <= ... < 200 DM,34,no credits taken/ all credits paid back duly,business,6590,.. >= 1000 DM,4 <= ... < 7 years,2,co-applicant,2,if not A121 : building society savings agreement/ life insurance,42,none,rent,2,skilled employee / official,1,none,yes,male,single,2
0 <= ... < 200 DM,25,existing credits paid back duly till now,furniture/equipment,1382,unknown/ no savings account,4 <= ... < 7 years,1,none,1,real estate,38,none,own,1,unskilled - resident,1,none,yes,male,single,1
< 0 DM,24,delay in paying off in the past,radio/television,1663,unknown/ no savings account,1 <= ... < 4 years,1,none,2,real estate,69,none,own,2,skilled employee / official,1,none,yes,male,single,1
< 0 DM,22,delay in paying off in the past,education,2089,... < 100 DM,4 <= ... < 7 years,3,co-applicant,4,real estate,36,none,rent,2,unskilled - resident,1,none,yes,female,divorced/separated/married,1
< 0 DM,9,critical account/ other credits existing (not at this bank),radio/television,1223,... < 100 DM,.. >= 7 years,3,none,2,real estate,58,bank,rent,3,unskilled - resident,2,none,yes,male,single,1
no checking account,42,existing credits paid back duly till now,car (new),2715,500 <= ... < 1000 DM,1 <= ... < 4 years,2,guarantor,2,real estate,28,none,own,1,skilled employee / official,1,none,yes,male,single,1
0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,5961,... < 100 DM,1 <= ... < 4 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",24,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,11,existing credits paid back duly till now,furniture/equipment,1276,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",23,none,rent,1,skilled employee / official,1,none,yes,male,married/widowed,1
< 0 DM,16,existing credits paid back duly till now,car (new),906,.. >= 1000 DM,4 <= ... < 7 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",51,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
0 <= ... < 200 DM,9,existing credits paid back duly till now,education,2145,... < 100 DM,.. >= 7 years,2,none,2,real estate,37,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,male,single,1
