,checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,personal-status,class-label
96,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1069,... < 100 DM,1 <= ... < 4 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",46,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,married/widowed,2
97,no checking account,39,existing credits paid back duly till now,business,9074,... < 100 DM,4 <= ... < 7 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",26,bank,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,divorced/separated,1
98,no checking account,24,existing credits paid back duly till now,others,8346,... < 100 DM,1 <= ... < 4 years,2,co-applicant,3,"if not A121/A122 : car or other, not in attribute 6",43,none,for free,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
99,no checking account,13,critical account/ other credits existing (not at this bank),radio/television,1832,unknown/ no savings account,1 <= ... < 4 years,2,guarantor,2,"if not A121/A122 : car or other, not in attribute 6",50,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated/married,1
100,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1038,... < 100 DM,... < 1 year,4,none,3,unknown / no property,26,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated/married,1
101,0 <= ... < 200 DM,48,delay in paying off in the past,business,7087,... < 100 DM,1 <= ... < 4 years,4,none,4,if not A121 : building society savings agreement/ life insurance,48,none,own,1,unskilled - resident,1,none,yes,male,single,1
102,0 <= ... < 200 DM,48,critical account/ other credits existing (not at this bank),car (new),2083,... < 100 DM,... < 1 year,3,none,2,if not A121 : building society savings agreement/ life insurance,27,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
103,0 <= ... < 200 DM,12,delay in paying off in the past,radio/television,2377,... < 100 DM,4 <= ... < 7 years,2,none,1,"if not A121/A122 : car or other, not in attribute 6",57,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
104,< 0 DM,15,existing credits paid back duly till now,furniture/equipment,8313,... < 100 DM,1 <= ... < 4 years,3,none,4,if not A121 : building society savings agreement/ life insurance,35,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,none,yes,male,single,1
105,no checking account,24,all credits at this bank paid back duly,radio/television,1063,... < 100 DM,1 <= ... < 4 years,2,none,2,unknown / no property,26,none,rent,1,skilled employee / official,2,none,yes,female,divorced/separated/married,1
106,no checking account,12,critical account/ other credits existing (not at this bank),car (new),1061,unknown/ no savings account,4 <= ... < 7 years,4,none,3,real estate,26,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,single,1
107,< 0 DM,6,no credits taken/ all credits paid back duly,car (used),6102,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",27,stores,own,1,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes,male,single,1
108,no checking account,26,critical account/ other credits existing (not at this bank),car (new),4589,... < 100 DM,4 <= ... < 7 years,4,none,2,real estate,27,none,for free,2,skilled employee / official,1,none,yes,male,single,1
109,0 <= ... < 200 DM,13,existing credits paid back duly till now,radio/television,5221,... < 100 DM,unemployed,3,none,2,if not A121 : building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,2,"yes, registered under the customers name",yes,female,divorced/separated/married,2
110,< 0 DM,19,existing credits paid back duly till now,business,4627,... < 100 DM,4 <= ... < 7 years,2,none,2,unknown / no property,35,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
111,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,2463,... < 100 DM,.. >= 7 years,4,none,4,real estate,24,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,none,yes,female,divorced/separated/married,2
112,0 <= ... < 200 DM,25,all credits at this bank paid back duly,car (new),9943,... < 100 DM,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,27,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single,1
113,< 0 DM,24,existing credits paid back duly till now,radio/television,1012,... < 100 DM,unemployed,2,none,2,unknown / no property,55,none,own,2,skilled employee / official,1,none,yes,female,single,1
114,0 <= ... < 200 DM,21,all credits at this bank paid back duly,domestic appliances,12176,... < 100 DM,1 <= ... < 4 years,3,none,3,"if not A121/A122 : car or other, not in attribute 6",50,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
115,< 0 DM,12,existing credits paid back duly till now,radio/television,1005,... < 100 DM,.. >= 7 years,2,none,1,real estate,57,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
116,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),11802,500 <= ... < 1000 DM,... < 1 year,3,none,4,"if not A121/A122 : car or other, not in attribute 6",27,bank,own,1,unskilled - resident,2,"yes, registered under the customers name",no,male,single,2
117,no checking account,23,delay in paying off in the past,car (used),5566,500 <= ... < 1000 DM,unemployed,3,co-applicant,4,"if not A121/A122 : car or other, not in attribute 6",27,bank,own,2,unskilled - resident,2,none,yes,male,single,1
118,no checking account,14,existing credits paid back duly till now,business,2259,100 <= ... < 500 DM,4 <= ... < 7 years,3,none,3,unknown / no property,28,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,male,divorced/separated,1
119,0 <= ... < 200 DM,14,existing credits paid back duly till now,car (new),1010,... < 100 DM,.. >= 7 years,2,none,2,if not A121 : building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,none,yes,male,single,1
120,0 <= ... < 200 DM,17,existing credits paid back duly till now,business,6311,.. >= 1000 DM,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,47,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
