,checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
27,0 <= ... < 200 DM,22,existing credits paid back duly till now,car (new),3603,... < 100 DM,... < 1 year,3,none,4,if not A121 : building society savings agreement/ life insurance,30,none,own,1,unemployed/ unskilled - non-resident,1,none,yes,2,female,divorced/separated/married
28,0 <= ... < 200 DM,22,existing credits paid back duly till now,car (used),9792,... < 100 DM,1 <= ... < 4 years,4,none,1,unknown / no property,22,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,female,single
29,no checking account,10,existing credits paid back duly till now,education,1436,... < 100 DM,.. >= 7 years,2,none,4,unknown / no property,38,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
30,no checking account,15,critical account/ other credits existing (not at this bank),business,4233,100 <= ... < 500 DM,... < 1 year,3,none,4,if not A121 : building society savings agreement/ life insurance,25,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,1,female,married/widowed
31,< 0 DM,34,critical account/ other credits existing (not at this bank),furniture/equipment,5777,unknown/ no savings account,4 <= ... < 7 years,3,none,4,real estate,48,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
32,< 0 DM,41,existing credits paid back duly till now,business,7258,... < 100 DM,.. >= 7 years,3,none,3,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
33,< 0 DM,13,existing credits paid back duly till now,radio/television,1218,... < 100 DM,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,none,yes,1,female,married/widowed
34,< 0 DM,25,existing credits paid back duly till now,car (new),3736,... < 100 DM,1 <= ... < 4 years,4,none,3,unknown / no property,36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
35,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,581,... < 100 DM,.. >= 7 years,4,none,4,real estate,45,none,own,1,unskilled - resident,1,none,yes,1,male,single
36,no checking account,21,critical account/ other credits existing (not at this bank),radio/television,2513,100 <= ... < 500 DM,unemployed,2,none,1,real estate,30,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,2,male,single
37,< 0 DM,27,critical account/ other credits existing (not at this bank),education,2539,unknown/ no savings account,.. >= 7 years,1,none,4,if not A121 : building society savings agreement/ life insurance,54,none,own,2,skilled employee / official,1,none,yes,1,male,single
38,no checking account,29,delay in paying off in the past,education,5766,500 <= ... < 1000 DM,... < 1 year,1,none,2,if not A121 : building society savings agreement/ life insurance,41,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
39,no checking account,10,existing credits paid back duly till now,radio/television,636,... < 100 DM,... < 1 year,4,none,4,unknown / no property,48,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
40,no checking account,22,critical account/ other credits existing (not at this bank),car (used),1583,100 <= ... < 500 DM,... < 1 year,1,none,4,"if not A121/A122 : car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,none,yes,1,male,single
41,no checking account,4,critical account/ other credits existing (not at this bank),education,4462,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",48,none,for free,1,skilled employee / official,1,none,yes,1,female,single
42,no checking account,19,existing credits paid back duly till now,radio/television,3681,... < 100 DM,... < 1 year,4,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
43,... >= 200 DM / salary assignments for at least 1 year,32,existing credits paid back duly till now,business,4745,100 <= ... < 500 DM,.. >= 7 years,1,none,3,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,single
44,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,furniture/equipment,1867,... < 100 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
45,no checking account,22,critical account/ other credits existing (not at this bank),radio/television,7948,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes,2,male,single
46,0 <= ... < 200 DM,14,delay in paying off in the past,education,1908,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,rent,1,skilled employee / official,2,none,yes,1,male,single
47,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,744,... < 100 DM,unemployed,1,guarantor,4,if not A121 : building society savings agreement/ life insurance,44,none,own,2,unskilled - resident,1,none,yes,1,female,divorced/separated/married
48,0 <= ... < 200 DM,17,critical account/ other credits existing (not at this bank),furniture/equipment,6231,... < 100 DM,4 <= ... < 7 years,3,none,3,if not A121 : building society savings agreement/ life insurance,25,none,own,2,unskilled - resident,1,none,yes,2,male,single
49,no checking account,8,critical account/ other credits existing (not at this bank),radio/television,3812,... < 100 DM,1 <= ... < 4 years,1,none,2,real estate,50,none,own,2,unskilled - resident,2,"yes, registered under the customers name",yes,1,male,single
50,0 <= ... < 200 DM,17,existing credits paid back duly till now,radio/television,3322,unknown/ no savings account,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,none,yes,1,female,single
51,no checking account,35,delay in paying off in the past,car (used),3414,... < 100 DM,... < 1 year,2,none,4,if not A121 : building society savings agreement/ life insurance,38,none,own,2,skilled employee / official,1,none,yes,2,male,single
52,no checking account,17,critical account/ other credits existing (not at this bank),retraining,1315,unknown/ no savings account,.. >= 7 years,2,none,3,if not A121 : building society savings agreement/ life insurance,34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,single
53,no checking account,4,existing credits paid back duly till now,radio/television,1530,... < 100 DM,1 <= ... < 4 years,1,none,2,real estate,24,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
54,no checking account,44,critical account/ other credits existing (not at this bank),car (new),3360,... < 100 DM,unemployed,4,none,2,"if not A121/A122 : car or other, not in attribute 6",43,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
55,0 <= ... < 200 DM,19,all credits at this bank paid back duly,car (new),1565,unknown/ no savings account,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,24,none,for free,1,skilled employee / official,1,none,yes,1,male,single
56,< 0 DM,18,existing credits paid back duly till now,education,758,... < 100 DM,unemployed,4,none,3,real estate,29,bank,own,1,unskilled - resident,1,none,yes,2,female,divorced/separated/married
57,< 0 DM,51,existing credits paid back duly till now,education,2341,... < 100 DM,... < 1 year,4,none,4,"if not A121/A122 : car or other, not in attribute 6",45,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated
58,0 <= ... < 200 DM,20,existing credits paid back duly till now,radio/television,4356,100 <= ... < 500 DM,.. >= 7 years,4,co-applicant,4,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
59,no checking account,11,existing credits paid back duly till now,radio/television,2315,... < 100 DM,.. >= 7 years,4,none,2,real estate,50,none,own,2,unskilled - resident,2,none,yes,1,male,single
60,< 0 DM,21,existing credits paid back duly till now,car (new),2508,... < 100 DM,4 <= ... < 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,25,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,female,divorced/separated/married
61,< 0 DM,25,delay in paying off in the past,car (new),3564,unknown/ no savings account,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",44,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
62,0 <= ... < 200 DM,33,delay in paying off in the past,furniture/equipment,3062,100 <= ... < 500 DM,... < 1 year,4,none,4,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
63,no checking account,16,existing credits paid back duly till now,car (new),1780,... < 100 DM,4 <= ... < 7 years,3,none,1,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,single
64,... >= 200 DM / salary assignments for at least 1 year,13,existing credits paid back duly till now,furniture/equipment,2643,100 <= ... < 500 DM,... < 1 year,1,none,2,if not A121 : building society savings agreement/ life insurance,19,none,rent,1,unskilled - resident,1,none,yes,2,female,divorced/separated/married
65,no checking account,16,existing credits paid back duly till now,car (new),1135,... < 100 DM,.. >= 7 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,divorced/separated/married
66,no checking account,28,critical account/ other credits existing (not at this bank),business,3759,unknown/ no savings account,1 <= ... < 4 years,3,none,2,if not A121 : building society savings agreement/ life insurance,32,bank,own,2,skilled employee / official,1,none,yes,1,male,single
67,< 0 DM,37,existing credits paid back duly till now,car (new),5547,... < 100 DM,4 <= ... < 7 years,4,co-applicant,1,real estate,43,none,for free,1,unskilled - resident,1,none,yes,1,male,single
68,0 <= ... < 200 DM,21,no credits taken/ all credits paid back duly,repairs,3904,... < 100 DM,1 <= ... < 4 years,4,none,2,unknown / no property,48,none,for free,3,unskilled - resident,2,none,yes,2,male,single
69,< 0 DM,18,existing credits paid back duly till now,radio/television,2373,... < 100 DM,1 <= ... < 4 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",21,none,rent,1,skilled employee / official,1,none,yes,2,male,single
70,0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),car (new),4802,500 <= ... < 1000 DM,4 <= ... < 7 years,2,none,2,real estate,27,none,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,1,male,single
71,0 <= ... < 200 DM,31,all credits at this bank paid back duly,business,2626,... < 100 DM,.. >= 7 years,4,none,4,real estate,55,none,for free,2,unskilled - resident,1,"yes, registered under the customers name",yes,2,male,single
72,no checking account,36,delay in paying off in the past,car (new),1725,... < 100 DM,... < 1 year,4,none,4,unknown / no property,26,none,rent,1,skilled employee / official,1,none,yes,2,male,divorced/separated/married
73,no checking account,11,critical account/ other credits existing (not at this bank),furniture/equipment,3759,... < 100 DM,.. >= 7 years,1,none,4,if not A121 : building society savings agreement/ life insurance,45,bank,for free,1,unskilled - resident,2,none,yes,1,male,divorced/separated/married
74,no checking account,19,existing credits paid back duly till now,car (new),3494,100 <= ... < 500 DM,... < 1 year,1,none,2,if not A121 : building society savings agreement/ life insurance,38,none,rent,1,skilled employee / official,2,none,yes,1,male,single
75,0 <= ... < 200 DM,15,delay in paying off in the past,car (new),2364,... < 100 DM,1 <= ... < 4 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",30,stores,own,1,unskilled - resident,1,none,yes,2,female,divorced/separated/married
76,0 <= ... < 200 DM,16,critical account/ other credits existing (not at this bank),business,5080,100 <= ... < 500 DM,... < 1 year,2,none,3,if not A121 : building society savings agreement/ life insurance,29,none,own,2,unskilled - resident,1,none,yes,1,male,single
77,< 0 DM,32,existing credits paid back duly till now,radio/television,3754,... < 100 DM,... < 1 year,4,none,1,if not A121 : building society savings agreement/ life insurance,27,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
78,0 <= ... < 200 DM,33,existing credits paid back duly till now,car (used),7710,100 <= ... < 500 DM,.. >= 7 years,4,none,4,unknown / no property,47,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
79,no checking account,15,existing credits paid back duly till now,car (new),2289,... < 100 DM,... < 1 year,4,none,2,real estate,34,none,own,1,skilled employee / official,2,none,yes,1,male,single
80,< 0 DM,11,critical account/ other credits existing (not at this bank),radio/television,2501,... < 100 DM,4 <= ... < 7 years,4,none,3,if not A121 : building society savings agreement/ life insurance,27,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1,male,divorced/separated/married
81,no checking account,40,critical account/ other credits existing (not at this bank),car (new),6617,... < 100 DM,1 <= ... < 4 years,4,none,4,real estate,34,bank,own,2,unskilled - resident,2,"yes, registered under the customers name",yes,1,male,single
82,< 0 DM,15,existing credits paid back duly till now,business,1309,... < 100 DM,... < 1 year,4,none,1,if not A121 : building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
83,< 0 DM,13,critical account/ other credits existing (not at this bank),education,832,... < 100 DM,.. >= 7 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",38,none,own,1,unskilled - resident,1,none,yes,2,female,divorced/separated/married
84,0 <= ... < 200 DM,7,no credits taken/ all credits paid back duly,furniture/equipment,1324,... < 100 DM,1 <= ... < 4 years,4,none,3,real estate,28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,single
85,no checking account,22,critical account/ other credits existing (not at this bank),radio/television,2820,... < 100 DM,unemployed,4,none,3,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,none,yes,1,male,married/widowed
86,no checking account,7,existing credits paid back duly till now,radio/television,1793,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,27,none,own,1,skilled employee / official,1,none,yes,1,male,single
87,0 <= ... < 200 DM,20,critical account/ other credits existing (not at this bank),car (new),5094,... < 100 DM,... < 1 year,2,none,3,"if not A121/A122 : car or other, not in attribute 6",29,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,divorced/separated
88,< 0 DM,43,existing credits paid back duly till now,radio/television,3709,... < 100 DM,unemployed,1,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",21,none,rent,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
89,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,712,... < 100 DM,1 <= ... < 4 years,4,none,3,real estate,64,bank,rent,1,unskilled - resident,1,none,yes,2,male,divorced/separated/married
90,no checking account,27,critical account/ other credits existing (not at this bank),radio/television,3061,... < 100 DM,4 <= ... < 7 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",37,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
91,< 0 DM,10,critical account/ other credits existing (not at this bank),business,1001,... < 100 DM,1 <= ... < 4 years,4,none,3,if not A121 : building society savings agreement/ life insurance,51,none,own,2,skilled employee / official,1,none,yes,2,male,single
92,no checking account,14,existing credits paid back duly till now,furniture/equipment,4668,... < 100 DM,.. >= 7 years,3,none,4,unknown / no property,63,none,own,1,skilled employee / official,1,none,yes,1,female,single
93,no checking account,10,existing credits paid back duly till now,furniture/equipment,868,... < 100 DM,1 <= ... < 4 years,4,none,4,real estate,29,none,rent,1,skilled employee / official,1,none,yes,2,female,divorced/separated
94,< 0 DM,29,existing credits paid back duly till now,business,6411,unknown/ no savings account,1 <= ... < 4 years,4,guarantor,3,"if not A121/A122 : car or other, not in attribute 6",25,none,for free,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,female,single
95,no checking account,40,all credits at this bank paid back duly,furniture/equipment,6150,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",47,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
96,< 0 DM,36,no credits taken/ all credits paid back duly,radio/television,2384,unknown/ no savings account,.. >= 7 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",21,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,single
97,no checking account,10,critical account/ other credits existing (not at this bank),car (new),2761,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,36,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
98,no checking account,11,existing credits paid back duly till now,radio/television,2145,... < 100 DM,4 <= ... < 7 years,2,none,2,real estate,30,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,male,single
99,< 0 DM,20,all credits at this bank paid back duly,furniture/equipment,2069,... < 100 DM,4 <= ... < 7 years,4,none,2,real estate,28,none,own,1,unskilled - resident,1,none,yes,2,male,single
100,no checking account,5,existing credits paid back duly till now,education,5387,... < 100 DM,4 <= ... < 7 years,1,none,4,unknown / no property,56,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,female,divorced/separated/married
101,no checking account,15,existing credits paid back duly till now,furniture/equipment,4292,unknown/ no savings account,.. >= 7 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
102,no checking account,13,critical account/ other credits existing (not at this bank),furniture/equipment,1295,... < 100 DM,.. >= 7 years,4,none,3,if not A121 : building society savings agreement/ life insurance,34,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,1,female,married/widowed
103,< 0 DM,14,existing credits paid back duly till now,radio/television,426,... < 100 DM,4 <= ... < 7 years,2,none,1,real estate,20,none,rent,1,skilled employee / official,1,none,yes,2,female,single
104,no checking account,23,existing credits paid back duly till now,radio/television,938,500 <= ... < 1000 DM,... < 1 year,3,none,4,"if not A121/A122 : car or other, not in attribute 6",25,stores,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,divorced/separated/married
105,no checking account,28,critical account/ other credits existing (not at this bank),car (used),8623,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
106,0 <= ... < 200 DM,18,delay in paying off in the past,business,2528,... < 100 DM,4 <= ... < 7 years,3,none,2,if not A121 : building society savings agreement/ life insurance,26,none,own,2,skilled employee / official,1,none,yes,1,male,single
107,no checking account,19,critical account/ other credits existing (not at this bank),car (new),1594,... < 100 DM,unemployed,3,none,1,"if not A121/A122 : car or other, not in attribute 6",36,stores,rent,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,2,male,single
108,no checking account,20,delay in paying off in the past,radio/television,2089,500 <= ... < 1000 DM,.. >= 7 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,unskilled - resident,2,"yes, registered under the customers name",yes,1,male,single
109,no checking account,8,critical account/ other credits existing (not at this bank),radio/television,1871,... < 100 DM,.. >= 7 years,1,none,2,real estate,33,none,own,1,unskilled - resident,1,none,yes,1,male,single
110,no checking account,11,existing credits paid back duly till now,radio/television,2072,unknown/ no savings account,.. >= 7 years,3,none,2,real estate,37,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
111,no checking account,29,existing credits paid back duly till now,car (new),2035,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",45,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,divorced/separated/married
112,no checking account,9,critical account/ other credits existing (not at this bank),radio/television,2296,500 <= ... < 1000 DM,.. >= 7 years,2,none,1,"if not A121/A122 : car or other, not in attribute 6",36,none,own,2,skilled employee / official,2,none,yes,1,male,single
113,no checking account,47,critical account/ other credits existing (not at this bank),radio/television,2812,unknown/ no savings account,.. >= 7 years,4,none,1,real estate,28,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
114,0 <= ... < 200 DM,16,existing credits paid back duly till now,car (new),7312,unknown/ no savings account,1 <= ... < 4 years,3,none,2,real estate,67,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1,male,single
115,0 <= ... < 200 DM,21,all credits at this bank paid back duly,radio/television,931,... < 100 DM,... < 1 year,4,none,4,unknown / no property,49,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,female,single
116,0 <= ... < 200 DM,22,existing credits paid back duly till now,radio/television,1014,... < 100 DM,1 <= ... < 4 years,4,none,1,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated
117,no checking account,27,existing credits paid back duly till now,car (new),5957,... < 100 DM,1 <= ... < 4 years,3,none,3,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,none,yes,1,male,single
118,no checking account,12,existing credits paid back duly till now,car (new),2080,... < 100 DM,.. >= 7 years,1,none,4,unknown / no property,49,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
119,no checking account,29,delay in paying off in the past,car (new),8762,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,46,bank,for free,1,skilled employee / official,1,none,yes,2,male,married/widowed
120,0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,837,500 <= ... < 1000 DM,1 <= ... < 4 years,1,none,4,real estate,38,none,rent,1,unskilled - resident,2,"yes, registered under the customers name",yes,1,male,divorced/separated/married
121,no checking account,14,critical account/ other credits existing (not at this bank),car (used),2081,... < 100 DM,.. >= 7 years,4,none,4,real estate,47,none,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
122,no checking account,33,critical account/ other credits existing (not at this bank),radio/television,2673,... < 100 DM,1 <= ... < 4 years,3,none,2,if not A121 : building society savings agreement/ life insurance,28,none,own,2,skilled employee / official,1,none,yes,1,female,single
