,checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
39,no checking account,40,all credits at this bank paid back duly,furniture/equipment,8001,.. >= 1000 DM,1 <= ... < 4 years,1,none,2,"if not A121/A122 : car or other, not in attribute 6",25,bank,rent,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
40,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),3486,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,57,none,for free,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
41,< 0 DM,36,all credits at this bank paid back duly,car (used),4787,... < 100 DM,.. >= 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",29,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
42,< 0 DM,31,all credits at this bank paid back duly,furniture/equipment,4921,... < 100 DM,... < 1 year,2,none,2,real estate,26,bank,rent,1,skilled employee / official,1,none,yes,2,male,single
43,no checking account,22,existing credits paid back duly till now,car (new),2707,... < 100 DM,... < 1 year,1,none,4,if not A121 : building society savings agreement/ life insurance,25,none,rent,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
44,no checking account,10,critical account/ other credits existing (not at this bank),car (new),2668,... < 100 DM,1 <= ... < 4 years,1,none,1,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
45,no checking account,16,critical account/ other credits existing (not at this bank),radio/television,3315,unknown/ no savings account,4 <= ... < 7 years,1,none,1,if not A121 : building society savings agreement/ life insurance,36,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
46,< 0 DM,21,existing credits paid back duly till now,furniture/equipment,1520,... < 100 DM,1 <= ... < 4 years,2,none,2,unknown / no property,46,none,own,1,skilled employee / official,2,none,yes,1,male,single
47,no checking account,32,critical account/ other credits existing (not at this bank),radio/television,3813,... < 100 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,1,male,single
48,no checking account,31,existing credits paid back duly till now,repairs,3040,... < 100 DM,... < 1 year,4,none,1,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
49,no checking account,10,all credits at this bank paid back duly,furniture/equipment,777,... < 100 DM,... < 1 year,2,none,4,real estate,39,stores,own,2,skilled employee / official,1,none,yes,1,male,single
50,no checking account,12,critical account/ other credits existing (not at this bank),repairs,1029,... < 100 DM,.. >= 7 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",31,none,own,2,skilled employee / official,1,none,yes,1,male,divorced/separated
51,no checking account,26,existing credits paid back duly till now,business,2672,unknown/ no savings account,1 <= ... < 4 years,2,none,2,real estate,28,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
52,0 <= ... < 200 DM,14,critical account/ other credits existing (not at this bank),radio/television,1256,100 <= ... < 500 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",29,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
53,no checking account,12,critical account/ other credits existing (not at this bank),business,1025,500 <= ... < 1000 DM,.. >= 7 years,3,none,2,if not A121 : building society savings agreement/ life insurance,50,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
54,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),969,... < 100 DM,.. >= 7 years,1,co-applicant,1,real estate,43,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,2,male,single
55,0 <= ... < 200 DM,23,existing credits paid back duly till now,radio/television,2928,unknown/ no savings account,.. >= 7 years,4,none,1,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,none,yes,1,male,single
56,< 0 DM,21,existing credits paid back duly till now,car (new),407,... < 100 DM,... < 1 year,4,none,2,real estate,43,none,own,1,skilled employee / official,1,none,yes,1,male,single
57,... >= 200 DM / salary assignments for at least 1 year,13,no credits taken/ all credits paid back duly,radio/television,559,100 <= ... < 500 DM,... < 1 year,4,none,1,real estate,38,bank,own,2,unskilled - resident,2,none,yes,2,male,single
58,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),6871,... < 100 DM,... < 1 year,1,none,4,"if not A121/A122 : car or other, not in attribute 6",26,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
59,no checking account,10,critical account/ other credits existing (not at this bank),radio/television,1097,unknown/ no savings account,.. >= 7 years,1,none,4,real estate,47,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,single
60,0 <= ... < 200 DM,10,existing credits paid back duly till now,car (new),3276,... < 100 DM,1 <= ... < 4 years,1,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",26,none,rent,1,unskilled - resident,1,none,yes,2,female,divorced/separated/married
61,0 <= ... < 200 DM,25,existing credits paid back duly till now,repairs,2510,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,48,none,for free,1,skilled employee / official,1,none,yes,2,male,single
62,0 <= ... < 200 DM,11,existing credits paid back duly till now,radio/television,250,... < 100 DM,... < 1 year,4,none,4,"if not A121/A122 : car or other, not in attribute 6",39,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
63,< 0 DM,7,critical account/ other credits existing (not at this bank),radio/television,3024,... < 100 DM,1 <= ... < 4 years,1,guarantor,2,real estate,26,none,own,2,skilled employee / official,1,none,yes,1,male,single
64,< 0 DM,11,all credits at this bank paid back duly,car (new),1130,... < 100 DM,... < 1 year,4,none,3,"if not A121/A122 : car or other, not in attribute 6",32,none,rent,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,female,married/widowed
65,0 <= ... < 200 DM,25,existing credits paid back duly till now,car (new),1793,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,2,unknown / no property,29,none,rent,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
66,< 0 DM,9,critical account/ other credits existing (not at this bank),education,1712,... < 100 DM,1 <= ... < 4 years,4,none,4,unknown / no property,61,none,for free,1,skilled employee / official,1,none,yes,1,male,single
67,no checking account,11,existing credits paid back duly till now,furniture/equipment,6313,unknown/ no savings account,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,28,none,own,1,unskilled - resident,1,none,yes,1,male,single
68,< 0 DM,24,critical account/ other credits existing (not at this bank),furniture/equipment,2071,... < 100 DM,... < 1 year,2,none,3,if not A121 : building society savings agreement/ life insurance,56,stores,rent,2,unskilled - resident,1,none,yes,1,male,single
69,0 <= ... < 200 DM,14,existing credits paid back duly till now,car (used),12478,... < 100 DM,unemployed,2,none,4,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,married/widowed
70,no checking account,8,existing credits paid back duly till now,business,2109,100 <= ... < 500 DM,1 <= ... < 4 years,1,none,2,"if not A121/A122 : car or other, not in attribute 6",53,none,own,1,skilled employee / official,2,none,yes,1,male,single
71,< 0 DM,38,critical account/ other credits existing (not at this bank),car (new),5936,... < 100 DM,4 <= ... < 7 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",30,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
72,no checking account,11,existing credits paid back duly till now,business,12361,unknown/ no savings account,unemployed,1,none,2,unknown / no property,60,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,divorced/separated
73,no checking account,10,existing credits paid back duly till now,car (new),1088,500 <= ... < 1000 DM,4 <= ... < 7 years,2,none,3,if not A121 : building society savings agreement/ life insurance,54,none,rent,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
74,< 0 DM,12,existing credits paid back duly till now,radio/television,2223,... < 100 DM,... < 1 year,3,guarantor,4,real estate,28,none,own,1,skilled employee / official,1,none,yes,2,male,single
75,< 0 DM,8,existing credits paid back duly till now,car (new),1873,... < 100 DM,.. >= 7 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
76,< 0 DM,11,existing credits paid back duly till now,car (new),3309,... < 100 DM,... < 1 year,4,none,1,real estate,36,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,single
77,no checking account,10,existing credits paid back duly till now,furniture/equipment,819,.. >= 1000 DM,.. >= 7 years,3,none,4,if not A121 : building society savings agreement/ life insurance,29,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
78,no checking account,21,critical account/ other credits existing (not at this bank),radio/television,1377,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",29,none,own,2,skilled employee / official,1,none,yes,1,male,single
79,< 0 DM,24,existing credits paid back duly till now,radio/television,1358,100 <= ... < 500 DM,.. >= 7 years,4,none,4,unknown / no property,58,none,rent,2,skilled employee / official,2,none,yes,2,male,single
80,< 0 DM,22,existing credits paid back duly till now,car (new),3664,... < 100 DM,.. >= 7 years,1,none,4,unknown / no property,30,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
81,< 0 DM,13,existing credits paid back duly till now,radio/television,1538,... < 100 DM,... < 1 year,4,none,3,if not A121 : building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,none,yes,2,male,divorced/separated/married
82,0 <= ... < 200 DM,30,existing credits paid back duly till now,business,4815,... < 100 DM,... < 1 year,4,co-applicant,2,unknown / no property,41,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
83,0 <= ... < 200 DM,22,existing credits paid back duly till now,furniture/equipment,1540,unknown/ no savings account,... < 1 year,4,none,1,real estate,35,none,own,1,skilled employee / official,1,none,yes,2,male,single
84,0 <= ... < 200 DM,7,critical account/ other credits existing (not at this bank),furniture/equipment,7414,... < 100 DM,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",56,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
85,no checking account,14,existing credits paid back duly till now,furniture/equipment,996,unknown/ no savings account,unemployed,1,none,2,if not A121 : building society savings agreement/ life insurance,29,none,own,1,unskilled - resident,1,none,yes,1,female,single
86,0 <= ... < 200 DM,10,existing credits paid back duly till now,furniture/equipment,3896,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,27,stores,rent,1,unskilled - resident,1,none,yes,1,male,single
87,no checking account,31,all credits at this bank paid back duly,business,1951,... < 100 DM,1 <= ... < 4 years,3,none,2,real estate,43,stores,own,1,unskilled - resident,2,none,yes,1,male,single
88,no checking account,23,existing credits paid back duly till now,repairs,1639,unknown/ no savings account,1 <= ... < 4 years,4,none,2,unknown / no property,27,none,for free,2,skilled employee / official,1,none,yes,1,male,single
89,< 0 DM,13,existing credits paid back duly till now,furniture/equipment,1116,... < 100 DM,4 <= ... < 7 years,3,none,3,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
90,0 <= ... < 200 DM,36,existing credits paid back duly till now,business,3292,... < 100 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,own,1,skilled employee / official,1,none,yes,1,male,single
91,no checking account,15,existing credits paid back duly till now,radio/television,3699,... < 100 DM,4 <= ... < 7 years,2,none,3,real estate,25,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
92,0 <= ... < 200 DM,11,delay in paying off in the past,radio/television,3328,... < 100 DM,... < 1 year,3,none,1,"if not A121/A122 : car or other, not in attribute 6",27,bank,own,2,skilled employee / official,1,none,yes,1,male,single
93,< 0 DM,22,existing credits paid back duly till now,car (new),1578,... < 100 DM,1 <= ... < 4 years,4,guarantor,3,real estate,41,bank,own,1,skilled employee / official,2,none,yes,2,male,single
94,... >= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),furniture/equipment,1315,... < 100 DM,4 <= ... < 7 years,1,none,4,if not A121 : building society savings agreement/ life insurance,52,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
95,0 <= ... < 200 DM,13,no credits taken/ all credits paid back duly,furniture/equipment,1223,... < 100 DM,.. >= 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,40,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,single
96,0 <= ... < 200 DM,45,no credits taken/ all credits paid back duly,education,3835,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,yes,2,male,single
97,< 0 DM,10,existing credits paid back duly till now,radio/television,1342,... < 100 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,40,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
98,< 0 DM,5,critical account/ other credits existing (not at this bank),car (new),308,.. >= 1000 DM,1 <= ... < 4 years,1,none,2,real estate,42,none,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
99,no checking account,7,critical account/ other credits existing (not at this bank),radio/television,1738,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,28,none,own,1,skilled employee / official,1,none,yes,1,male,single
100,< 0 DM,24,existing credits paid back duly till now,radio/television,1860,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",33,none,rent,1,unskilled - resident,1,none,yes,2,male,married/widowed
101,< 0 DM,4,existing credits paid back duly till now,furniture/equipment,284,... < 100 DM,... < 1 year,4,co-applicant,3,real estate,39,bank,own,1,unskilled - resident,1,none,yes,1,female,single
102,< 0 DM,10,existing credits paid back duly till now,furniture/equipment,1519,... < 100 DM,1 <= ... < 4 years,4,none,4,real estate,28,none,own,1,unskilled - resident,1,none,yes,2,male,single
103,0 <= ... < 200 DM,28,no credits taken/ all credits paid back duly,radio/television,7398,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,1,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,2,skilled employee / official,1,none,yes,1,male,married/widowed
104,< 0 DM,22,existing credits paid back duly till now,car (new),2376,... < 100 DM,... < 1 year,4,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
105,no checking account,31,existing credits paid back duly till now,business,2956,500 <= ... < 1000 DM,.. >= 7 years,1,none,2,if not A121 : building society savings agreement/ life insurance,48,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
106,< 0 DM,9,existing credits paid back duly till now,radio/television,1073,... < 100 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",49,none,own,1,unskilled - resident,1,none,yes,2,female,divorced/separated/married
107,no checking account,23,existing credits paid back duly till now,furniture/equipment,3383,unknown/ no savings account,... < 1 year,1,none,4,if not A121 : building society savings agreement/ life insurance,51,bank,for free,1,unskilled - resident,1,none,yes,2,male,single
108,< 0 DM,23,existing credits paid back duly till now,car (new),1948,... < 100 DM,1 <= ... < 4 years,1,none,1,real estate,45,bank,own,1,unskilled - resident,1,none,no,1,male,single
109,no checking account,25,existing credits paid back duly till now,business,2621,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",30,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
110,no checking account,33,existing credits paid back duly till now,radio/television,7417,... < 100 DM,4 <= ... < 7 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,2,skilled employee / official,2,none,yes,1,male,single
111,< 0 DM,9,all credits at this bank paid back duly,furniture/equipment,250,... < 100 DM,... < 1 year,4,none,3,real estate,32,bank,own,1,unskilled - resident,2,none,yes,1,male,single
112,< 0 DM,8,existing credits paid back duly till now,car (new),847,unknown/ no savings account,unemployed,1,none,2,if not A121 : building society savings agreement/ life insurance,27,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
113,no checking account,24,critical account/ other credits existing (not at this bank),business,6213,unknown/ no savings account,.. >= 7 years,2,none,2,if not A121 : building society savings agreement/ life insurance,63,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,divorced/separated
114,no checking account,11,critical account/ other credits existing (not at this bank),furniture/equipment,1749,.. >= 1000 DM,4 <= ... < 7 years,3,none,3,if not A121 : building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1,none,yes,1,female,divorced/separated/married
115,no checking account,26,delay in paying off in the past,business,3333,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",33,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
116,no checking account,4,existing credits paid back duly till now,car (new),571,unknown/ no savings account,unemployed,4,none,2,real estate,57,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
117,no checking account,22,delay in paying off in the past,radio/television,2791,... < 100 DM,.. >= 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
118,no checking account,4,existing credits paid back duly till now,car (new),627,... < 100 DM,unemployed,4,none,4,real estate,26,none,own,1,unemployed/ unskilled - non-resident,1,none,yes,1,female,divorced/separated/married
119,< 0 DM,22,all credits at this bank paid back duly,car (new),675,... < 100 DM,1 <= ... < 4 years,2,none,4,unknown / no property,37,bank,own,1,unskilled - resident,2,none,yes,1,male,divorced/separated
120,< 0 DM,4,existing credits paid back duly till now,car (new),250,... < 100 DM,... < 1 year,2,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
121,no checking account,11,delay in paying off in the past,furniture/equipment,1704,unknown/ no savings account,4 <= ... < 7 years,1,none,2,if not A121 : building society savings agreement/ life insurance,61,none,for free,2,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
122,0 <= ... < 200 DM,10,critical account/ other credits existing (not at this bank),radio/television,620,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,54,bank,rent,3,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,married/widowed
123,no checking account,22,critical account/ other credits existing (not at this bank),radio/television,1382,unknown/ no savings account,.. >= 7 years,4,none,4,real estate,58,none,own,1,skilled employee / official,1,none,yes,1,male,single
