,checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
14,0 <= ... < 200 DM,72,existing credits paid back duly till now,business,18424,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",19,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,single
15,no checking account,9,critical account/ other credits existing (not at this bank),domestic appliances,1015,unknown/ no savings account,4 <= ... < 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,27,none,rent,2,skilled employee / official,1,none,yes,1,female,divorced/separated/married
16,0 <= ... < 200 DM,72,existing credits paid back duly till now,radio/television,18424,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",19,none,own,1,skilled employee / official,1,none,yes,2,male,single
17,0 <= ... < 200 DM,29,existing credits paid back duly till now,radio/television,2933,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,4,real estate,34,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,2,male,single
18,no checking account,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,... < 1 year,4,none,4,real estate,19,none,rent,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
19,no checking account,10,critical account/ other credits existing (not at this bank),car (new),1297,unknown/ no savings account,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",37,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
20,0 <= ... < 200 DM,14,all credits at this bank paid back duly,car (new),1074,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,25,none,own,1,unskilled - resident,1,none,yes,1,male,married/widowed
21,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1872,500 <= ... < 1000 DM,1 <= ... < 4 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",51,none,rent,2,skilled employee / official,1,none,yes,1,male,divorced/separated
22,< 0 DM,17,existing credits paid back duly till now,furniture/equipment,3173,... < 100 DM,1 <= ... < 4 years,1,none,4,unknown / no property,27,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
23,0 <= ... < 200 DM,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,1 <= ... < 4 years,3,none,4,real estate,19,none,rent,2,unskilled - resident,1,none,yes,1,female,divorced/separated/married
24,< 0 DM,12,delay in paying off in the past,car (new),1573,... < 100 DM,1 <= ... < 4 years,4,none,4,real estate,38,bank,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,married/widowed
25,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,3251,... < 100 DM,4 <= ... < 7 years,3,none,4,if not A121 : building society savings agreement/ life insurance,34,stores,rent,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,single
26,< 0 DM,28,existing credits paid back duly till now,radio/television,5207,... < 100 DM,.. >= 7 years,1,none,4,unknown / no property,46,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
27,< 0 DM,15,existing credits paid back duly till now,car (new),3525,500 <= ... < 1000 DM,1 <= ... < 4 years,1,none,2,if not A121 : building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
28,no checking account,12,existing credits paid back duly till now,radio/television,1892,... < 100 DM,... < 1 year,2,none,4,"if not A121/A122 : car or other, not in attribute 6",41,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
29,no checking account,35,existing credits paid back duly till now,radio/television,4497,.. >= 1000 DM,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
30,no checking account,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,4 <= ... < 7 years,1,none,2,real estate,19,none,own,1,unskilled - resident,2,none,yes,1,female,divorced/separated/married
31,< 0 DM,17,existing credits paid back duly till now,radio/television,1446,... < 100 DM,... < 1 year,4,none,2,real estate,29,none,own,1,skilled employee / official,2,none,yes,1,male,married/widowed
32,no checking account,6,existing credits paid back duly till now,education,687,... < 100 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
33,< 0 DM,27,no credits taken/ all credits paid back duly,others,4602,... < 100 DM,unemployed,4,none,4,unknown / no property,32,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1,male,single
34,no checking account,28,delay in paying off in the past,radio/television,3620,... < 100 DM,1 <= ... < 4 years,2,co-applicant,4,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,none,yes,2,male,married/widowed
35,no checking account,24,delay in paying off in the past,radio/television,6042,... < 100 DM,4 <= ... < 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,43,none,own,2,skilled employee / official,1,none,yes,1,male,divorced/separated
36,0 <= ... < 200 DM,18,existing credits paid back duly till now,furniture/equipment,1691,.. >= 1000 DM,1 <= ... < 4 years,4,none,4,if not A121 : building society savings agreement/ life insurance,21,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
37,no checking account,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,4 <= ... < 7 years,1,none,2,real estate,19,none,own,1,unskilled - resident,2,none,yes,1,male,divorced/separated/married
38,0 <= ... < 200 DM,4,existing credits paid back duly till now,car (new),250,... < 100 DM,4 <= ... < 7 years,4,none,4,real estate,29,none,rent,2,unskilled - resident,1,none,yes,1,female,divorced/separated/married
39,no checking account,20,existing credits paid back duly till now,car (used),4086,100 <= ... < 500 DM,.. >= 7 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",30,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
40,0 <= ... < 200 DM,72,existing credits paid back duly till now,business,18424,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",19,none,own,1,skilled employee / official,1,none,yes,2,female,single
41,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),4807,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
42,< 0 DM,18,existing credits paid back duly till now,car (new),3373,... < 100 DM,1 <= ... < 4 years,3,guarantor,3,if not A121 : building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,none,yes,2,male,single
43,< 0 DM,10,critical account/ other credits existing (not at this bank),car (new),1197,... < 100 DM,1 <= ... < 4 years,3,none,2,real estate,33,none,own,2,unskilled - resident,1,none,yes,1,male,single
44,< 0 DM,12,critical account/ other credits existing (not at this bank),radio/television,487,500 <= ... < 1000 DM,.. >= 7 years,4,none,4,real estate,53,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
45,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,2761,... < 100 DM,... < 1 year,3,none,2,"if not A121/A122 : car or other, not in attribute 6",39,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,female,divorced/separated/married
46,no checking account,8,existing credits paid back duly till now,car (new),706,unknown/ no savings account,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",47,none,own,4,unskilled - resident,1,none,yes,1,female,divorced/separated/married
47,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1897,unknown/ no savings account,4 <= ... < 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
48,no checking account,26,existing credits paid back duly till now,radio/television,6559,.. >= 1000 DM,1 <= ... < 4 years,2,none,4,unknown / no property,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,single
49,no checking account,24,existing credits paid back duly till now,car (used),2799,... < 100 DM,1 <= ... < 4 years,4,none,2,unknown / no property,29,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
50,no checking account,24,existing credits paid back duly till now,others,6395,... < 100 DM,.. >= 7 years,3,none,2,unknown / no property,33,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
51,no checking account,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,4 <= ... < 7 years,1,none,1,real estate,19,none,own,1,unskilled - resident,2,none,yes,1,male,divorced/separated/married
52,no checking account,7,critical account/ other credits existing (not at this bank),radio/television,855,... < 100 DM,.. >= 7 years,4,none,4,real estate,48,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,1,male,single
53,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2639,unknown/ no savings account,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,none,yes,1,male,single
54,< 0 DM,12,existing credits paid back duly till now,radio/television,1905,100 <= ... < 500 DM,... < 1 year,1,none,4,real estate,24,none,rent,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
55,0 <= ... < 200 DM,4,existing credits paid back duly till now,radio/television,512,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,3,real estate,40,none,own,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,1,male,single
56,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),1406,... < 100 DM,1 <= ... < 4 years,1,guarantor,4,real estate,26,none,rent,1,skilled employee / official,1,none,no,1,male,single
57,no checking account,45,existing credits paid back duly till now,car (used),10184,... < 100 DM,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,1,male,married/widowed
58,no checking account,72,critical account/ other credits existing (not at this bank),business,250,... < 100 DM,1 <= ... < 4 years,3,none,2,real estate,74,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
59,no checking account,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,4 <= ... < 7 years,1,none,2,real estate,19,none,own,1,unskilled - resident,2,none,yes,1,male,single
60,no checking account,15,existing credits paid back duly till now,furniture/equipment,1804,... < 100 DM,... < 1 year,3,none,1,if not A121 : building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,2,none,yes,2,male,single
61,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),2503,... < 100 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
62,no checking account,51,existing credits paid back duly till now,radio/television,3427,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
63,no checking account,12,existing credits paid back duly till now,education,1438,... < 100 DM,... < 1 year,2,none,4,real estate,22,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
64,no checking account,49,existing credits paid back duly till now,business,8165,... < 100 DM,4 <= ... < 7 years,4,none,1,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
65,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,car (new),1841,... < 100 DM,1 <= ... < 4 years,2,none,3,unknown / no property,50,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
66,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),1889,... < 100 DM,1 <= ... < 4 years,3,none,3,real estate,25,none,own,1,skilled employee / official,1,none,yes,1,male,married/widowed
67,< 0 DM,18,critical account/ other credits existing (not at this bank),radio/television,1451,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,married/widowed
68,0 <= ... < 200 DM,12,delay in paying off in the past,radio/television,1447,... < 100 DM,1 <= ... < 4 years,1,none,2,real estate,24,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
69,< 0 DM,24,all credits at this bank paid back duly,furniture/equipment,1270,... < 100 DM,4 <= ... < 7 years,4,none,1,real estate,28,none,rent,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
70,< 0 DM,24,existing credits paid back duly till now,radio/television,3601,... < 100 DM,1 <= ... < 4 years,4,none,4,unknown / no property,43,none,for free,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
71,0 <= ... < 200 DM,72,existing credits paid back duly till now,business,18424,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",19,none,own,1,skilled employee / official,1,none,yes,2,male,single
72,no checking account,4,critical account/ other credits existing (not at this bank),radio/television,759,500 <= ... < 1000 DM,.. >= 7 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,own,2,skilled employee / official,1,none,yes,1,male,single
73,< 0 DM,34,existing credits paid back duly till now,car (new),3913,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,38,none,rent,1,skilled employee / official,2,"yes, registered under the customers name",yes,2,male,single
74,no checking account,36,existing credits paid back duly till now,business,6981,unknown/ no savings account,... < 1 year,2,none,1,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,married/widowed
75,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),2388,unknown/ no savings account,... < 1 year,4,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
76,no checking account,24,critical account/ other credits existing (not at this bank),business,1363,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,1,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,divorced/separated/married
77,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1806,... < 100 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,21,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
78,no checking account,38,delay in paying off in the past,radio/television,5685,unknown/ no savings account,1 <= ... < 4 years,2,none,4,unknown / no property,32,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
79,< 0 DM,24,existing credits paid back duly till now,furniture/equipment,4746,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",30,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,single
80,< 0 DM,24,existing credits paid back duly till now,education,2689,... < 100 DM,.. >= 7 years,4,none,1,unknown / no property,49,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
81,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),2356,... < 100 DM,1 <= ... < 4 years,1,none,3,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,yes,2,male,married/widowed
82,no checking account,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,1 <= ... < 4 years,3,none,3,real estate,74,none,own,2,unskilled - resident,2,none,yes,1,male,divorced/separated/married
83,0 <= ... < 200 DM,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,.. >= 7 years,3,none,4,real estate,73,none,own,2,unskilled - resident,1,none,yes,1,male,divorced/separated/married
84,no checking account,36,existing credits paid back duly till now,radio/television,2711,100 <= ... < 500 DM,.. >= 7 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,none,yes,1,male,single
85,no checking account,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,.. >= 7 years,3,none,4,real estate,74,none,own,1,unskilled - resident,2,none,yes,1,male,divorced/separated/married
86,no checking account,36,existing credits paid back duly till now,car (used),11577,100 <= ... < 500 DM,4 <= ... < 7 years,3,none,2,unknown / no property,24,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,male,single
87,0 <= ... < 200 DM,4,existing credits paid back duly till now,furniture/equipment,250,... < 100 DM,... < 1 year,4,none,4,real estate,19,none,rent,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
88,no checking account,18,critical account/ other credits existing (not at this bank),car (new),1418,... < 100 DM,.. >= 7 years,4,none,4,real estate,47,none,own,1,skilled employee / official,1,none,yes,1,male,single
89,no checking account,7,delay in paying off in the past,radio/television,1820,unknown/ no savings account,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",54,none,own,3,skilled employee / official,1,none,yes,1,male,single
90,no checking account,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,4 <= ... < 7 years,3,none,3,real estate,74,none,own,1,unskilled - resident,2,none,yes,1,male,single
91,< 0 DM,47,existing credits paid back duly till now,furniture/equipment,11659,... < 100 DM,... < 1 year,1,none,2,if not A121 : building society savings agreement/ life insurance,32,bank,own,1,skilled employee / official,1,none,yes,2,male,married/widowed
92,0 <= ... < 200 DM,4,existing credits paid back duly till now,domestic appliances,250,... < 100 DM,... < 1 year,4,none,4,real estate,19,none,rent,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
93,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),furniture/equipment,2243,... < 100 DM,.. >= 7 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
94,no checking account,12,existing credits paid back duly till now,car (used),2413,.. >= 1000 DM,... < 1 year,1,none,4,"if not A121/A122 : car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
95,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,3088,100 <= ... < 500 DM,4 <= ... < 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,24,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
96,... >= 200 DM / salary assignments for at least 1 year,5,existing credits paid back duly till now,car (used),1233,... < 100 DM,1 <= ... < 4 years,2,none,3,real estate,37,none,rent,1,skilled employee / official,2,none,yes,1,male,single
97,0 <= ... < 200 DM,6,delay in paying off in the past,radio/television,1295,100 <= ... < 500 DM,... < 1 year,3,none,4,real estate,30,none,own,1,unskilled - resident,1,none,yes,1,male,single
98,... >= 200 DM / salary assignments for at least 1 year,21,existing credits paid back duly till now,radio/television,2250,... < 100 DM,1 <= ... < 4 years,3,none,1,if not A121 : building society savings agreement/ life insurance,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
99,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1019,... < 100 DM,... < 1 year,4,none,3,real estate,31,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
100,no checking account,16,delay in paying off in the past,radio/television,2777,unknown/ no savings account,4 <= ... < 7 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,own,2,skilled employee / official,1,none,yes,1,male,single
101,< 0 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,1123,... < 100 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,39,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
102,< 0 DM,15,existing credits paid back duly till now,furniture/equipment,3434,... < 100 DM,... < 1 year,4,guarantor,3,if not A121 : building society savings agreement/ life insurance,25,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
103,< 0 DM,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,.. >= 7 years,3,none,4,real estate,73,none,rent,2,unskilled - resident,1,none,yes,1,female,divorced/separated/married
104,no checking account,11,existing credits paid back duly till now,furniture/equipment,2213,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,19,none,rent,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
105,no checking account,5,existing credits paid back duly till now,radio/television,697,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,23,none,rent,1,unskilled - resident,1,none,yes,1,male,married/widowed
106,no checking account,20,existing credits paid back duly till now,radio/television,2513,500 <= ... < 1000 DM,1 <= ... < 4 years,3,none,2,if not A121 : building society savings agreement/ life insurance,43,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,male,divorced/separated
107,no checking account,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,.. >= 7 years,3,none,4,real estate,74,none,own,1,unskilled - resident,1,none,yes,1,male,divorced/separated/married
108,0 <= ... < 200 DM,18,delay in paying off in the past,radio/television,3141,100 <= ... < 500 DM,... < 1 year,3,none,3,if not A121 : building society savings agreement/ life insurance,34,none,own,1,skilled employee / official,1,none,yes,1,male,single
109,no checking account,12,existing credits paid back duly till now,radio/television,1755,... < 100 DM,... < 1 year,4,none,3,"if not A121/A122 : car or other, not in attribute 6",29,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,2,male,single
110,no checking account,24,existing credits paid back duly till now,furniture/equipment,3934,100 <= ... < 500 DM,.. >= 7 years,2,none,1,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,single
111,no checking account,17,existing credits paid back duly till now,radio/television,2952,... < 100 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,41,none,own,1,skilled employee / official,1,none,yes,1,male,single
112,0 <= ... < 200 DM,15,existing credits paid back duly till now,car (new),3644,... < 100 DM,1 <= ... < 4 years,2,none,3,real estate,33,none,own,1,skilled employee / official,1,none,yes,1,male,single
113,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,6161,unknown/ no savings account,4 <= ... < 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
114,< 0 DM,12,critical account/ other credits existing (not at this bank),radio/television,1160,... < 100 DM,4 <= ... < 7 years,3,none,1,real estate,27,none,rent,2,unskilled - resident,1,none,yes,2,female,divorced/separated/married
115,< 0 DM,65,existing credits paid back duly till now,radio/television,5693,unknown/ no savings account,unemployed,4,none,2,if not A121 : building society savings agreement/ life insurance,29,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
116,< 0 DM,18,all credits at this bank paid back duly,business,1703,... < 100 DM,.. >= 7 years,1,none,2,real estate,31,stores,own,1,unskilled - resident,2,none,yes,1,male,single
117,no checking account,8,critical account/ other credits existing (not at this bank),business,969,.. >= 1000 DM,4 <= ... < 7 years,3,none,1,"if not A121/A122 : car or other, not in attribute 6",35,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
118,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),1602,... < 100 DM,... < 1 year,4,co-applicant,3,if not A121 : building society savings agreement/ life insurance,36,stores,own,2,management/ self-employed/ highly qualified employee/ officer,2,none,yes,2,male,single
119,0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,837,... < 100 DM,... < 1 year,4,none,4,"if not A121/A122 : car or other, not in attribute 6",21,none,rent,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
120,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1919,... < 100 DM,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,49,none,own,1,skilled employee / official,1,none,yes,1,male,single
121,no checking account,24,existing credits paid back duly till now,radio/television,2545,... < 100 DM,... < 1 year,4,none,4,real estate,27,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
122,no checking account,18,existing credits paid back duly till now,car (used),4447,... < 100 DM,.. >= 7 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",36,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,single
123,no checking account,24,existing credits paid back duly till now,car (new),1975,unknown/ no savings account,... < 1 year,4,none,4,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,unemployed/ unskilled - non-resident,1,none,yes,1,female,divorced/separated/married
124,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,2430,unknown/ no savings account,1 <= ... < 4 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,none,yes,1,female,divorced/separated/married
