checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,personal-status,class-label
no checking account,22,delay in paying off in the past,radio/television,2411,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",54,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,25,no credits taken/ all credits paid back duly,furniture/equipment,4019,... < 100 DM,1 <= ... < 4 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",22,bank,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married,2
< 0 DM,14,existing credits paid back duly till now,car (new),1433,... < 100 DM,... < 1 year,4,none,1,real estate,29,bank,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married,2
0 <= ... < 200 DM,22,existing credits paid back duly till now,repairs,4334,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,49,none,for free,1,skilled employee / official,1,none,yes,male,single,1
< 0 DM,9,existing credits paid back duly till now,car (new),1085,... < 100 DM,.. >= 7 years,4,guarantor,4,if not A121 : building society savings agreement/ life insurance,28,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married,1
0 <= ... < 200 DM,28,existing credits paid back duly till now,domestic appliances,2380,... < 100 DM,... < 1 year,4,none,2,"if not A121/A122 : car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,none,yes,male,married/widowed,2
no checking account,26,existing credits paid back duly till now,business,2456,unknown/ no savings account,.. >= 7 years,2,none,3,if not A121 : building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,19,existing credits paid back duly till now,car (used),8646,... < 100 DM,unemployed,2,none,4,unknown / no property,57,none,for free,1,skilled employee / official,1,none,yes,male,single,1
0 <= ... < 200 DM,12,all credits at this bank paid back duly,furniture/equipment,4157,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,37,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
no checking account,23,existing credits paid back duly till now,car (used),2866,unknown/ no savings account,.. >= 7 years,4,none,2,unknown / no property,52,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
no checking account,8,existing credits paid back duly till now,radio/television,1360,... < 100 DM,1 <= ... < 4 years,2,none,3,real estate,20,none,own,2,skilled employee / official,1,none,yes,male,married/widowed,1
no checking account,16,existing credits paid back duly till now,radio/television,2753,... < 100 DM,... < 1 year,2,none,2,if not A121 : building society savings agreement/ life insurance,56,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,divorced/separated/married,1
0 <= ... < 200 DM,60,delay in paying off in the past,business,8288,... < 100 DM,... < 1 year,1,none,4,unknown / no property,57,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,2
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1179,unknown/ no savings account,.. >= 7 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",23,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
no checking account,8,existing credits paid back duly till now,furniture/equipment,3088,... < 100 DM,1 <= ... < 4 years,2,co-applicant,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,no,male,single,1
no checking account,5,existing credits paid back duly till now,radio/television,2746,500 <= ... < 1000 DM,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",37,none,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,44,existing credits paid back duly till now,car (new),5775,... < 100 DM,... < 1 year,3,none,3,"if not A121/A122 : car or other, not in attribute 6",50,none,for free,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,11,no credits taken/ all credits paid back duly,furniture/equipment,3726,... < 100 DM,... < 1 year,4,none,4,real estate,64,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,divorced/separated/married,2
< 0 DM,25,existing credits paid back duly till now,car (used),8371,... < 100 DM,4 <= ... < 7 years,3,none,4,real estate,34,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,2
no checking account,12,critical account/ other credits existing (not at this bank),business,1589,... < 100 DM,.. >= 7 years,3,none,2,if not A121 : building society savings agreement/ life insurance,40,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,23,delay in paying off in the past,radio/television,1996,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,none,yes,male,single,1
no checking account,22,existing credits paid back duly till now,furniture/equipment,2645,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
no checking account,16,critical account/ other credits existing (not at this bank),business,3535,unknown/ no savings account,4 <= ... < 7 years,4,none,4,real estate,33,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed,1
no checking account,10,existing credits paid back duly till now,car (new),1739,.. >= 1000 DM,... < 1 year,2,none,4,unknown / no property,24,none,rent,1,unskilled - resident,1,none,yes,female,divorced/separated/married,2
0 <= ... < 200 DM,41,existing credits paid back duly till now,furniture/equipment,3894,100 <= ... < 500 DM,... < 1 year,4,none,2,real estate,43,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,1516,... < 100 DM,4 <= ... < 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,34,none,own,1,skilled employee / official,1,none,no,male,single,1
no checking account,9,critical account/ other credits existing (not at this bank),business,1981,.. >= 1000 DM,1 <= ... < 4 years,3,none,3,real estate,24,none,own,2,skilled employee / official,1,none,yes,male,single,1
< 0 DM,50,delay in paying off in the past,education,5787,.. >= 1000 DM,4 <= ... < 7 years,2,co-applicant,4,unknown / no property,56,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,25,critical account/ other credits existing (not at this bank),car (new),2570,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,30,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,26,existing credits paid back duly till now,retraining,8690,... < 100 DM,unemployed,2,none,2,unknown / no property,58,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
0 <= ... < 200 DM,38,existing credits paid back duly till now,radio/television,3961,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
< 0 DM,14,all credits at this bank paid back duly,radio/television,8175,... < 100 DM,4 <= ... < 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married,2
0 <= ... < 200 DM,34,critical account/ other credits existing (not at this bank),business,4080,... < 100 DM,4 <= ... < 7 years,2,co-applicant,2,real estate,26,stores,own,2,skilled employee / official,1,none,yes,male,single,1
< 0 DM,23,delay in paying off in the past,radio/television,2561,... < 100 DM,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,27,stores,own,2,skilled employee / official,1,none,yes,male,single,2
< 0 DM,14,existing credits paid back duly till now,furniture/equipment,2830,.. >= 1000 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,24,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,2
no checking account,10,critical account/ other credits existing (not at this bank),car (new),1228,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,33,none,own,2,skilled employee / official,1,none,yes,male,single,1
< 0 DM,25,existing credits paid back duly till now,domestic appliances,1238,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,53,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
no checking account,13,critical account/ other credits existing (not at this bank),car (new),1830,unknown/ no savings account,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",32,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,13,existing credits paid back duly till now,car (new),1416,unknown/ no savings account,... < 1 year,4,co-applicant,4,real estate,33,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
no checking account,14,critical account/ other credits existing (not at this bank),radio/television,1101,unknown/ no savings account,.. >= 7 years,3,guarantor,4,real estate,38,none,own,2,skilled employee / official,1,none,yes,male,married/widowed,1
0 <= ... < 200 DM,4,existing credits paid back duly till now,furniture/equipment,1210,... < 100 DM,1 <= ... < 4 years,2,guarantor,2,if not A121 : building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,none,yes,male,married/widowed,1
no checking account,23,critical account/ other credits existing (not at this bank),others,2672,100 <= ... < 500 DM,.. >= 7 years,4,none,2,if not A121 : building society savings agreement/ life insurance,34,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
no checking account,24,existing credits paid back duly till now,car (used),6800,unknown/ no savings account,4 <= ... < 7 years,3,none,4,if not A121 : building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,divorced/separated,1
< 0 DM,23,existing credits paid back duly till now,car (new),1501,... < 100 DM,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,39,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,single,2
0 <= ... < 200 DM,24,delay in paying off in the past,business,1738,... < 100 DM,4 <= ... < 7 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",23,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,8,critical account/ other credits existing (not at this bank),radio/television,1427,100 <= ... < 500 DM,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,10,existing credits paid back duly till now,car (new),2192,... < 100 DM,... < 1 year,3,none,2,"if not A121/A122 : car or other, not in attribute 6",23,none,for free,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
no checking account,23,existing credits paid back duly till now,car (new),1333,... < 100 DM,... < 1 year,4,none,2,real estate,42,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
no checking account,26,critical account/ other credits existing (not at this bank),car (new),2476,... < 100 DM,1 <= ... < 4 years,2,none,4,real estate,37,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
... >= 200 DM / salary assignments for at least 1 year,44,existing credits paid back duly till now,car (new),8375,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,24,none,rent,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
no checking account,12,existing credits paid back duly till now,furniture/equipment,1763,... < 100 DM,4 <= ... < 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",21,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,2
no checking account,40,existing credits paid back duly till now,furniture/equipment,3392,... < 100 DM,4 <= ... < 7 years,2,none,2,if not A121 : building society savings agreement/ life insurance,36,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,23,critical account/ other credits existing (not at this bank),car (new),3748,unknown/ no savings account,.. >= 7 years,3,none,4,unknown / no property,34,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,14,all credits at this bank paid back duly,radio/television,1764,.. >= 1000 DM,4 <= ... < 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",25,none,rent,1,skilled employee / official,1,none,yes,male,married/widowed,1
< 0 DM,29,no credits taken/ all credits paid back duly,radio/television,2176,unknown/ no savings account,1 <= ... < 4 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",20,stores,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,2
< 0 DM,23,existing credits paid back duly till now,car (new),2979,.. >= 1000 DM,1 <= ... < 4 years,4,none,3,if not A121 : building society savings agreement/ life insurance,29,none,own,2,unskilled - resident,1,none,yes,male,single,1
no checking account,23,existing credits paid back duly till now,car (new),6513,unknown/ no savings account,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",51,bank,for free,3,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,28,existing credits paid back duly till now,business,786,unknown/ no savings account,1 <= ... < 4 years,4,none,3,real estate,35,none,own,2,skilled employee / official,1,none,yes,male,single,2
no checking account,23,existing credits paid back duly till now,radio/television,7743,... < 100 DM,1 <= ... < 4 years,1,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
no checking account,22,delay in paying off in the past,business,7964,100 <= ... < 500 DM,1 <= ... < 4 years,4,co-applicant,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,2
< 0 DM,10,no credits taken/ all credits paid back duly,furniture/equipment,1008,... < 100 DM,... < 1 year,3,none,2,real estate,27,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
< 0 DM,41,delay in paying off in the past,business,9339,... < 100 DM,unemployed,4,none,4,unknown / no property,30,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,2
0 <= ... < 200 DM,22,critical account/ other credits existing (not at this bank),car (used),4562,unknown/ no savings account,4 <= ... < 7 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single,1
< 0 DM,49,no credits taken/ all credits paid back duly,business,4083,... < 100 DM,1 <= ... < 4 years,2,none,4,if not A121 : building society savings agreement/ life insurance,42,none,own,1,skilled employee / official,1,none,yes,male,single,2
< 0 DM,24,existing credits paid back duly till now,business,1500,unknown/ no savings account,4 <= ... < 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
0 <= ... < 200 DM,25,delay in paying off in the past,furniture/equipment,7061,unknown/ no savings account,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",22,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
no checking account,7,delay in paying off in the past,furniture/equipment,801,100 <= ... < 500 DM,1 <= ... < 4 years,3,guarantor,4,real estate,39,bank,own,3,skilled employee / official,1,none,yes,male,single,2
< 0 DM,39,existing credits paid back duly till now,business,3513,.. >= 1000 DM,4 <= ... < 7 years,2,co-applicant,3,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,none,yes,male,single,2
< 0 DM,14,existing credits paid back duly till now,radio/television,5897,... < 100 DM,4 <= ... < 7 years,4,none,4,real estate,22,none,own,1,skilled employee / official,1,none,yes,male,single,1
no checking account,10,existing credits paid back duly till now,furniture/equipment,1422,unknown/ no savings account,... < 1 year,2,none,2,real estate,25,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
0 <= ... < 200 DM,6,existing credits paid back duly till now,furniture/equipment,1054,500 <= ... < 1000 DM,4 <= ... < 7 years,3,none,4,real estate,28,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,male,married/widowed,1
0 <= ... < 200 DM,16,existing credits paid back duly till now,car (new),1999,... < 100 DM,... < 1 year,2,none,1,if not A121 : building society savings agreement/ life insurance,19,none,own,1,skilled employee / official,2,none,yes,female,divorced/separated/married,1
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,547,100 <= ... < 500 DM,... < 1 year,2,none,3,if not A121 : building society savings agreement/ life insurance,38,none,for free,2,skilled employee / official,1,none,yes,male,single,1
0 <= ... < 200 DM,26,existing credits paid back duly till now,car (used),4857,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,54,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single,1
no checking account,10,all credits at this bank paid back duly,furniture/equipment,8118,... < 100 DM,.. >= 7 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,2,unemployed/ unskilled - non-resident,1,none,yes,female,divorced/separated/married,1
0 <= ... < 200 DM,44,delay in paying off in the past,business,5333,... < 100 DM,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",32,stores,own,1,unskilled - resident,1,none,yes,male,married/widowed,1
0 <= ... < 200 DM,29,existing credits paid back duly till now,radio/television,9695,... < 100 DM,... < 1 year,2,none,4,real estate,21,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,divorced/separated/married,1
... >= 200 DM / salary assignments for at least 1 year,25,existing credits paid back duly till now,furniture/equipment,3494,100 <= ... < 500 DM,4 <= ... < 7 years,1,none,3,real estate,23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
no checking account,36,existing credits paid back duly till now,business,3173,unknown/ no savings account,4 <= ... < 7 years,3,none,2,if not A121 : building society savings agreement/ life insurance,50,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,11,critical account/ other credits existing (not at this bank),car (new),632,... < 100 DM,4 <= ... < 7 years,4,none,2,real estate,40,none,own,1,unskilled - resident,1,none,yes,male,married/widowed,1
... >= 200 DM / salary assignments for at least 1 year,46,critical account/ other credits existing (not at this bank),business,6964,... < 100 DM,1 <= ... < 4 years,2,none,3,if not A121 : building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,none,yes,male,single,1
< 0 DM,63,existing credits paid back duly till now,radio/television,1735,unknown/ no savings account,1 <= ... < 4 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",41,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,2
< 0 DM,16,existing credits paid back duly till now,car (new),1677,... < 100 DM,4 <= ... < 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,18,delay in paying off in the past,radio/television,1093,... < 100 DM,1 <= ... < 4 years,4,none,4,if not A121 : building society savings agreement/ life insurance,45,none,own,2,skilled employee / official,1,none,no,male,single,2
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,6390,... < 100 DM,4 <= ... < 7 years,2,none,3,real estate,46,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,divorced/separated,1
no checking account,16,critical account/ other credits existing (not at this bank),business,9621,... < 100 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,24,bank,own,2,skilled employee / official,1,none,yes,male,single,1
< 0 DM,27,critical account/ other credits existing (not at this bank),radio/television,2564,.. >= 1000 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed,1
no checking account,11,delay in paying off in the past,radio/television,1544,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",41,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,8,delay in paying off in the past,car (new),2118,... < 100 DM,.. >= 7 years,4,none,4,real estate,58,none,own,3,skilled employee / official,2,none,yes,male,single,1
0 <= ... < 200 DM,61,no credits taken/ all credits paid back duly,business,11844,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",27,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single,2
... >= 200 DM / salary assignments for at least 1 year,13,critical account/ other credits existing (not at this bank),car (new),2871,... < 100 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,48,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,15,existing credits paid back duly till now,car (new),2382,... < 100 DM,1 <= ... < 4 years,3,none,4,real estate,42,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single,1
0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),education,1172,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,43,none,own,1,skilled employee / official,1,none,yes,male,single,1
< 0 DM,25,existing credits paid back duly till now,car (used),4113,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",38,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,22,existing credits paid back duly till now,others,8732,... < 100 DM,unemployed,4,none,4,unknown / no property,41,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,2
no checking account,5,critical account/ other credits existing (not at this bank),radio/television,1462,... < 100 DM,1 <= ... < 4 years,3,none,3,real estate,33,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married,1
no checking account,23,existing credits paid back duly till now,radio/television,858,100 <= ... < 500 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,none,yes,male,single,1
no checking account,7,existing credits paid back duly till now,furniture/equipment,1618,... < 100 DM,1 <= ... < 4 years,3,none,3,real estate,23,none,own,1,skilled employee / official,1,none,yes,male,married/widowed,1
... >= 200 DM / salary assignments for at least 1 year,14,existing credits paid back duly till now,car (new),1324,... < 100 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,25,none,own,1,skilled employee / official,1,none,yes,male,single,1
< 0 DM,29,delay in paying off in the past,car (new),10768,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,35,none,for free,2,skilled employee / official,1,none,yes,male,single,2
no checking account,13,critical account/ other credits existing (not at this bank),furniture/equipment,6711,.. >= 1000 DM,1 <= ... < 4 years,3,none,2,real estate,26,none,own,2,skilled employee / official,1,none,yes,male,single,1
no checking account,34,existing credits paid back duly till now,furniture/equipment,5856,... < 100 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",41,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,divorced/separated,1
< 0 DM,42,existing credits paid back duly till now,furniture/equipment,3870,... < 100 DM,1 <= ... < 4 years,2,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",44,none,own,1,skilled employee / official,1,none,yes,male,single,1
0 <= ... < 200 DM,43,existing credits paid back duly till now,car (used),8153,... < 100 DM,4 <= ... < 7 years,2,none,4,unknown / no property,28,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
