,checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
45,0 <= ... < 200 DM,11,existing credits paid back duly till now,car (new),1429,100 <= ... < 500 DM,1 <= ... < 4 years,3,none,2,real estate,31,none,rent,1,unemployed/ unskilled - non-resident,1,none,yes,1,male,single
46,0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),car (new),1207,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",55,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
47,no checking account,23,existing credits paid back duly till now,furniture/equipment,3372,... < 100 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
48,< 0 DM,14,existing credits paid back duly till now,car (new),3396,... < 100 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,26,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
49,0 <= ... < 200 DM,14,existing credits paid back duly till now,car (used),4357,... < 100 DM,.. >= 7 years,2,none,2,if not A121 : building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,none,yes,1,male,single
50,< 0 DM,6,critical account/ other credits existing (not at this bank),education,1039,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,51,none,for free,2,skilled employee / official,1,none,yes,1,female,divorced/separated/married
51,< 0 DM,22,critical account/ other credits existing (not at this bank),furniture/equipment,3260,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,25,none,own,1,skilled employee / official,1,none,yes,2,male,divorced/separated
52,< 0 DM,23,existing credits paid back duly till now,car (new),3673,... < 100 DM,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,50,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,married/widowed
53,< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2141,... < 100 DM,.. >= 7 years,4,none,4,real estate,50,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
54,no checking account,10,critical account/ other credits existing (not at this bank),radio/television,1597,... < 100 DM,4 <= ... < 7 years,1,none,2,if not A121 : building society savings agreement/ life insurance,44,none,own,2,skilled employee / official,1,none,yes,1,male,married/widowed
55,no checking account,10,critical account/ other credits existing (not at this bank),car (used),3614,.. >= 1000 DM,.. >= 7 years,3,none,4,real estate,54,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
56,< 0 DM,11,critical account/ other credits existing (not at this bank),education,1330,... < 100 DM,.. >= 7 years,3,none,3,unknown / no property,27,none,for free,2,skilled employee / official,1,none,yes,1,male,single
57,0 <= ... < 200 DM,10,existing credits paid back duly till now,furniture/equipment,6218,... < 100 DM,4 <= ... < 7 years,2,none,2,if not A121 : building society savings agreement/ life insurance,26,none,own,1,unskilled - resident,1,none,yes,1,male,single
58,no checking account,14,critical account/ other credits existing (not at this bank),car (used),1416,... < 100 DM,.. >= 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
59,no checking account,11,existing credits paid back duly till now,business,1534,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,47,bank,rent,1,unskilled - resident,1,none,yes,1,male,single
60,< 0 DM,10,all credits at this bank paid back duly,car (new),823,.. >= 1000 DM,1 <= ... < 4 years,3,none,4,real estate,38,none,own,2,unskilled - resident,1,none,yes,2,female,divorced/separated/married
61,0 <= ... < 200 DM,23,existing credits paid back duly till now,car (new),1604,unknown/ no savings account,... < 1 year,4,none,4,unknown / no property,53,none,own,1,skilled employee / official,1,none,yes,1,male,single
62,no checking account,15,existing credits paid back duly till now,car (new),2954,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
63,no checking account,24,existing credits paid back duly till now,radio/television,3115,... < 100 DM,1 <= ... < 4 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,none,yes,1,male,divorced/separated/married
64,... >= 200 DM / salary assignments for at least 1 year,7,critical account/ other credits existing (not at this bank),car (new),1553,unknown/ no savings account,4 <= ... < 7 years,1,none,3,real estate,50,none,own,1,unskilled - resident,1,none,yes,1,male,single
65,no checking account,23,existing credits paid back duly till now,business,3377,unknown/ no savings account,4 <= ... < 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,25,none,own,1,skilled employee / official,1,none,yes,1,male,single
66,no checking account,16,critical account/ other credits existing (not at this bank),radio/television,4023,... < 100 DM,.. >= 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,41,none,own,2,skilled employee / official,1,none,yes,1,male,single
67,< 0 DM,24,existing credits paid back duly till now,radio/television,6504,... < 100 DM,4 <= ... < 7 years,4,none,3,if not A121 : building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
68,no checking account,24,existing credits paid back duly till now,radio/television,4317,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,2,real estate,28,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
69,0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,4085,... < 100 DM,unemployed,1,none,3,if not A121 : building society savings agreement/ life insurance,27,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
70,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,3722,... < 100 DM,1 <= ... < 4 years,2,none,4,if not A121 : building society savings agreement/ life insurance,48,none,own,1,skilled employee / official,1,none,yes,1,male,single
71,< 0 DM,12,existing credits paid back duly till now,radio/television,1481,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,22,none,own,2,skilled employee / official,1,none,yes,1,male,married/widowed
72,< 0 DM,24,existing credits paid back duly till now,business,5447,... < 100 DM,1 <= ... < 4 years,4,none,2,unknown / no property,37,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,2,male,single
73,< 0 DM,28,critical account/ other credits existing (not at this bank),furniture/equipment,3609,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,25,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,married/widowed
74,no checking account,11,existing credits paid back duly till now,radio/television,2110,unknown/ no savings account,4 <= ... < 7 years,2,none,2,real estate,47,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
75,< 0 DM,22,critical account/ other credits existing (not at this bank),car (new),3645,.. >= 1000 DM,4 <= ... < 7 years,1,none,2,real estate,28,none,own,1,skilled employee / official,2,none,yes,1,male,single
76,< 0 DM,12,existing credits paid back duly till now,radio/television,1354,... < 100 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,45,none,own,1,skilled employee / official,1,none,yes,2,male,divorced/separated
77,< 0 DM,23,existing credits paid back duly till now,car (new),1822,... < 100 DM,1 <= ... < 4 years,4,none,3,real estate,26,none,rent,1,unskilled - resident,1,none,yes,2,male,single
78,0 <= ... < 200 DM,8,existing credits paid back duly till now,car (new),1332,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
79,0 <= ... < 200 DM,41,existing credits paid back duly till now,car (new),4111,... < 100 DM,.. >= 7 years,4,none,1,if not A121 : building society savings agreement/ life insurance,44,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,divorced/separated
80,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,radio/television,1530,unknown/ no savings account,4 <= ... < 7 years,2,none,1,real estate,34,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,male,single
81,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,1523,... < 100 DM,... < 1 year,2,none,1,if not A121 : building society savings agreement/ life insurance,24,none,own,1,unskilled - resident,1,none,yes,1,male,divorced/separated
82,0 <= ... < 200 DM,10,critical account/ other credits existing (not at this bank),radio/television,1926,... < 100 DM,4 <= ... < 7 years,2,none,1,real estate,36,none,own,1,skilled employee / official,1,none,yes,1,male,single
83,no checking account,17,critical account/ other credits existing (not at this bank),business,4282,... < 100 DM,.. >= 7 years,3,none,4,real estate,54,none,own,2,skilled employee / official,2,none,yes,1,male,single
84,no checking account,5,critical account/ other credits existing (not at this bank),furniture/equipment,1032,... < 100 DM,4 <= ... < 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,25,none,own,1,unskilled - resident,1,none,yes,1,male,single
85,0 <= ... < 200 DM,40,existing credits paid back duly till now,radio/television,1871,... < 100 DM,1 <= ... < 4 years,3,none,1,real estate,24,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
86,no checking account,11,existing credits paid back duly till now,furniture/equipment,2672,... < 100 DM,4 <= ... < 7 years,1,none,4,real estate,48,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
87,no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,1765,... < 100 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,38,none,rent,1,skilled employee / official,1,none,yes,1,male,single
88,0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),car (new),2126,unknown/ no savings account,... < 1 year,2,none,1,unknown / no property,45,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,single
89,0 <= ... < 200 DM,7,critical account/ other credits existing (not at this bank),car (new),1791,... < 100 DM,4 <= ... < 7 years,4,none,3,real estate,56,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,single
90,0 <= ... < 200 DM,13,existing credits paid back duly till now,furniture/equipment,1496,... < 100 DM,... < 1 year,4,none,1,if not A121 : building society savings agreement/ life insurance,24,none,own,1,skilled employee / official,1,none,yes,1,male,single
91,< 0 DM,8,existing credits paid back duly till now,furniture/equipment,3192,... < 100 DM,1 <= ... < 4 years,1,none,2,real estate,37,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
92,... >= 200 DM / salary assignments for at least 1 year,37,existing credits paid back duly till now,radio/television,3400,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",26,bank,own,2,skilled employee / official,1,none,yes,2,male,single
93,< 0 DM,13,existing credits paid back duly till now,furniture/equipment,3344,... < 100 DM,1 <= ... < 4 years,4,guarantor,4,if not A121 : building society savings agreement/ life insurance,27,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
94,< 0 DM,34,existing credits paid back duly till now,business,7560,... < 100 DM,unemployed,3,none,2,unknown / no property,38,bank,rent,1,skilled employee / official,1,none,yes,1,male,single
95,< 0 DM,24,critical account/ other credits existing (not at this bank),car (used),3358,... < 100 DM,... < 1 year,1,none,4,if not A121 : building society savings agreement/ life insurance,47,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,divorced/separated
96,no checking account,24,existing credits paid back duly till now,car (used),3443,500 <= ... < 1000 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
97,0 <= ... < 200 DM,13,existing credits paid back duly till now,furniture/equipment,2214,... < 100 DM,... < 1 year,4,none,1,if not A121 : building society savings agreement/ life insurance,47,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
98,no checking account,24,existing credits paid back duly till now,radio/television,3309,... < 100 DM,... < 1 year,1,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,divorced/separated/married
99,no checking account,13,existing credits paid back duly till now,radio/television,1522,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,26,none,own,1,skilled employee / official,1,none,yes,1,male,single
100,< 0 DM,15,existing credits paid back duly till now,radio/television,3292,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,23,bank,own,1,skilled employee / official,1,none,yes,2,male,single
101,0 <= ... < 200 DM,10,existing credits paid back duly till now,car (new),3155,... < 100 DM,4 <= ... < 7 years,3,none,3,unknown / no property,27,none,for free,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
102,no checking account,15,critical account/ other credits existing (not at this bank),car (new),1980,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,2,skilled employee / official,1,none,yes,1,male,single
103,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),7264,unknown/ no savings account,1 <= ... < 4 years,2,none,2,unknown / no property,33,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,2,male,single
104,no checking account,11,critical account/ other credits existing (not at this bank),radio/television,3906,100 <= ... < 500 DM,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,rent,2,skilled employee / official,1,none,yes,2,male,single
105,< 0 DM,13,critical account/ other credits existing (not at this bank),furniture/equipment,3901,... < 100 DM,1 <= ... < 4 years,3,none,3,real estate,25,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,divorced/separated
106,no checking account,24,existing credits paid back duly till now,radio/television,2944,... < 100 DM,... < 1 year,1,none,4,real estate,26,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
107,0 <= ... < 200 DM,23,existing credits paid back duly till now,radio/television,3455,... < 100 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,26,none,own,2,skilled employee / official,1,none,yes,1,female,divorced/separated/married
108,0 <= ... < 200 DM,11,existing credits paid back duly till now,radio/television,2056,unknown/ no savings account,.. >= 7 years,4,none,4,real estate,47,none,own,1,skilled employee / official,1,none,yes,1,male,single
109,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),radio/television,1868,... < 100 DM,1 <= ... < 4 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,none,yes,1,male,single
110,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1522,... < 100 DM,1 <= ... < 4 years,2,none,4,real estate,52,bank,own,1,unskilled - resident,1,none,yes,1,male,single
111,no checking account,10,critical account/ other credits existing (not at this bank),radio/television,1291,... < 100 DM,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",52,none,own,2,unskilled - resident,1,none,yes,1,male,single
112,< 0 DM,24,existing credits paid back duly till now,furniture/equipment,3040,... < 100 DM,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
113,< 0 DM,37,no credits taken/ all credits paid back duly,car (new),1410,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",38,bank,own,2,skilled employee / official,2,none,yes,2,male,single
114,< 0 DM,22,delay in paying off in the past,car (new),1088,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes,1,male,single
115,0 <= ... < 200 DM,14,critical account/ other credits existing (not at this bank),car (new),1272,... < 100 DM,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",40,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
116,0 <= ... < 200 DM,11,existing credits paid back duly till now,car (new),1221,... < 100 DM,... < 1 year,3,none,2,real estate,23,bank,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
117,no checking account,15,existing credits paid back duly till now,furniture/equipment,1575,unknown/ no savings account,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,none,yes,1,male,single
118,no checking account,14,critical account/ other credits existing (not at this bank),radio/television,1879,... < 100 DM,4 <= ... < 7 years,4,none,1,if not A121 : building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,1,none,yes,1,male,single
119,< 0 DM,13,existing credits paid back duly till now,car (new),1332,... < 100 DM,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,25,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
120,no checking account,12,existing credits paid back duly till now,business,1927,unknown/ no savings account,4 <= ... < 7 years,4,none,2,real estate,50,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,single
121,no checking account,36,critical account/ other credits existing (not at this bank),radio/television,1236,100 <= ... < 500 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",25,none,own,2,skilled employee / official,1,none,yes,1,male,single
122,no checking account,23,critical account/ other credits existing (not at this bank),car (new),7335,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,57,bank,for free,2,skilled employee / official,1,none,yes,2,male,single
123,< 0 DM,12,existing credits paid back duly till now,furniture/equipment,3900,... < 100 DM,1 <= ... < 4 years,3,none,2,if not A121 : building society savings agreement/ life insurance,26,bank,own,1,unskilled - resident,1,none,yes,2,male,married/widowed
124,0 <= ... < 200 DM,10,existing credits paid back duly till now,business,3236,100 <= ... < 500 DM,.. >= 7 years,3,none,4,real estate,50,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,divorced/separated/married
125,< 0 DM,14,existing credits paid back duly till now,car (new),1431,unknown/ no savings account,unemployed,4,none,4,unknown / no property,36,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
