checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,personal-status,class-label
no checking account,36,critical account/ other credits existing (not at this bank),furniture/equipment,4253,unknown/ no savings account,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",45,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,34,delay in paying off in the past,car (new),1730,... < 100 DM,4 <= ... < 7 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,skilled employee / official,2,none,yes,male,single,2
0 <= ... < 200 DM,15,existing credits paid back duly till now,radio/television,1975,... < 100 DM,unemployed,4,none,4,unknown / no property,43,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
no checking account,10,delay in paying off in the past,radio/television,519,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,24,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed,2
0 <= ... < 200 DM,34,existing credits paid back duly till now,education,1359,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,4,real estate,24,none,own,2,unskilled - resident,2,none,yes,male,single,2
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),1740,... < 100 DM,4 <= ... < 7 years,4,none,3,real estate,38,none,own,2,unskilled - resident,2,none,yes,male,single,1
... >= 200 DM / salary assignments for at least 1 year,15,delay in paying off in the past,furniture/equipment,2620,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,2,real estate,39,none,own,2,skilled employee / official,2,none,yes,male,divorced/separated,1
0 <= ... < 200 DM,26,critical account/ other credits existing (not at this bank),education,3097,... < 100 DM,.. >= 7 years,3,none,4,unknown / no property,45,none,for free,3,skilled employee / official,2,none,yes,male,single,2
no checking account,14,critical account/ other credits existing (not at this bank),car (new),809,100 <= ... < 500 DM,.. >= 7 years,4,none,4,real estate,42,none,own,2,unskilled - resident,2,none,yes,male,single,1
no checking account,54,critical account/ other credits existing (not at this bank),business,7758,unknown/ no savings account,4 <= ... < 7 years,2,none,3,if not A121 : building society savings agreement/ life insurance,33,none,own,2,unskilled - resident,2,"yes, registered under the customers name",yes,male,single,1
no checking account,19,existing credits paid back duly till now,education,1605,... < 100 DM,unemployed,4,none,3,real estate,36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
no checking account,5,critical account/ other credits existing (not at this bank),radio/television,1498,.. >= 1000 DM,1 <= ... < 4 years,4,none,2,real estate,40,none,own,2,unskilled - resident,1,none,yes,male,married/widowed,1
no checking account,23,critical account/ other credits existing (not at this bank),radio/television,1611,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,42,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1809,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,53,none,own,2,unskilled - resident,2,none,yes,male,single,1
no checking account,26,existing credits paid back duly till now,furniture/equipment,2106,... < 100 DM,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",56,bank,for free,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,divorced/separated,1
no checking account,23,delay in paying off in the past,radio/television,2636,... < 100 DM,.. >= 7 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,skilled employee / official,2,none,yes,male,single,1
no checking account,25,critical account/ other credits existing (not at this bank),car (new),6638,... < 100 DM,.. >= 7 years,4,none,3,if not A121 : building society savings agreement/ life insurance,46,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,25,critical account/ other credits existing (not at this bank),business,1175,... < 100 DM,1 <= ... < 4 years,4,none,3,real estate,30,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,married/widowed,2
0 <= ... < 200 DM,22,existing credits paid back duly till now,car (new),2049,... < 100 DM,4 <= ... < 7 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,skilled employee / official,2,none,yes,male,single,1
no checking account,40,critical account/ other credits existing (not at this bank),car (used),6904,unknown/ no savings account,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single,1
< 0 DM,18,critical account/ other credits existing (not at this bank),car (new),2246,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,42,none,for free,2,unskilled - resident,2,"yes, registered under the customers name",yes,male,single,1
no checking account,17,critical account/ other credits existing (not at this bank),car (new),7195,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,62,bank,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
< 0 DM,46,delay in paying off in the past,radio/television,5975,unknown/ no savings account,1 <= ... < 4 years,3,none,4,unknown / no property,23,none,for free,2,skilled employee / official,1,none,yes,male,single,1
0 <= ... < 200 DM,51,delay in paying off in the past,business,14444,... < 100 DM,4 <= ... < 7 years,2,none,2,real estate,30,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single,1
< 0 DM,22,critical account/ other credits existing (not at this bank),radio/television,1608,... < 100 DM,.. >= 7 years,3,none,4,real estate,43,none,for free,2,skilled employee / official,2,none,yes,male,single,1
< 0 DM,22,critical account/ other credits existing (not at this bank),furniture/equipment,3730,... < 100 DM,1 <= ... < 4 years,3,none,4,real estate,43,none,own,2,unskilled - resident,1,none,yes,male,single,1
no checking account,25,critical account/ other credits existing (not at this bank),car (new),1464,... < 100 DM,.. >= 7 years,4,none,4,real estate,38,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
no checking account,21,all credits at this bank paid back duly,car (new),1859,... < 100 DM,.. >= 7 years,4,none,2,real estate,39,none,own,2,unskilled - resident,2,none,yes,male,single,1
0 <= ... < 200 DM,23,existing credits paid back duly till now,business,1233,500 <= ... < 1000 DM,4 <= ... < 7 years,4,none,2,real estate,39,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,married/widowed,2
0 <= ... < 200 DM,45,critical account/ other credits existing (not at this bank),furniture/equipment,6784,500 <= ... < 1000 DM,unemployed,4,co-applicant,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
... >= 200 DM / salary assignments for at least 1 year,11,critical account/ other credits existing (not at this bank),radio/television,2431,... < 100 DM,... < 1 year,2,none,2,real estate,48,none,own,2,unskilled - resident,2,none,yes,male,single,1
< 0 DM,11,critical account/ other credits existing (not at this bank),car (new),1085,... < 100 DM,.. >= 7 years,4,none,4,real estate,52,none,own,2,unskilled - resident,2,none,yes,male,single,1
no checking account,26,delay in paying off in the past,business,10077,... < 100 DM,4 <= ... < 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,43,bank,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
no checking account,30,critical account/ other credits existing (not at this bank),business,8663,unknown/ no savings account,4 <= ... < 7 years,2,none,4,real estate,59,none,own,3,unskilled - resident,2,"yes, registered under the customers name",yes,male,divorced/separated,1
< 0 DM,12,delay in paying off in the past,furniture/equipment,2002,... < 100 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",41,none,rent,2,unskilled - resident,2,none,yes,male,single,1
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),1417,... < 100 DM,... < 1 year,4,none,4,real estate,40,none,rent,2,unskilled - resident,2,none,yes,male,single,1
no checking account,19,critical account/ other credits existing (not at this bank),car (new),3650,500 <= ... < 1000 DM,1 <= ... < 4 years,2,none,2,real estate,35,none,own,2,unskilled - resident,2,none,yes,male,single,1
no checking account,26,no credits taken/ all credits paid back duly,car (used),5869,unknown/ no savings account,.. >= 7 years,2,none,2,if not A121 : building society savings agreement/ life insurance,34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,11,critical account/ other credits existing (not at this bank),radio/television,2270,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,25,none,own,2,unskilled - resident,2,none,no,male,single,1
< 0 DM,15,critical account/ other credits existing (not at this bank),business,5017,100 <= ... < 500 DM,.. >= 7 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",46,none,own,2,unskilled - resident,2,none,yes,male,single,1
no checking account,55,critical account/ other credits existing (not at this bank),car (used),1958,100 <= ... < 500 DM,.. >= 7 years,4,none,4,real estate,53,none,own,2,skilled employee / official,2,none,yes,male,single,1
no checking account,52,critical account/ other credits existing (not at this bank),car (used),5456,... < 100 DM,4 <= ... < 7 years,2,none,4,unknown / no property,28,none,for free,2,skilled employee / official,1,none,yes,male,single,1
... >= 200 DM / salary assignments for at least 1 year,27,critical account/ other credits existing (not at this bank),furniture/equipment,3458,unknown/ no savings account,.. >= 7 years,3,none,4,if not A121 : building society savings agreement/ life insurance,51,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,16,critical account/ other credits existing (not at this bank),business,1415,.. >= 1000 DM,.. >= 7 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",24,none,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,23,critical account/ other credits existing (not at this bank),furniture/equipment,2500,500 <= ... < 1000 DM,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,51,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
no checking account,26,critical account/ other credits existing (not at this bank),car (used),3911,unknown/ no savings account,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",41,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,42,critical account/ other credits existing (not at this bank),radio/television,8142,unknown/ no savings account,.. >= 7 years,2,none,4,real estate,43,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
no checking account,23,existing credits paid back duly till now,radio/television,3576,... < 100 DM,... < 1 year,3,none,2,real estate,26,bank,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
no checking account,23,no credits taken/ all credits paid back duly,radio/television,1313,... < 100 DM,.. >= 7 years,4,guarantor,4,real estate,42,bank,own,2,unskilled - resident,2,none,yes,male,single,1
no checking account,24,critical account/ other credits existing (not at this bank),business,1666,... < 100 DM,.. >= 7 years,4,none,4,real estate,41,none,own,2,skilled employee / official,2,none,yes,male,single,1
< 0 DM,12,existing credits paid back duly till now,car (new),1144,... < 100 DM,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,51,none,own,1,unskilled - resident,2,none,yes,male,single,2
< 0 DM,23,critical account/ other credits existing (not at this bank),car (new),2713,... < 100 DM,4 <= ... < 7 years,2,none,3,if not A121 : building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
no checking account,24,critical account/ other credits existing (not at this bank),business,6811,.. >= 1000 DM,1 <= ... < 4 years,2,none,4,real estate,26,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,divorced/separated,1
no checking account,27,critical account/ other credits existing (not at this bank),business,2396,unknown/ no savings account,4 <= ... < 7 years,1,none,2,real estate,39,none,own,2,unskilled - resident,2,"yes, registered under the customers name",yes,male,married/widowed,1
< 0 DM,42,existing credits paid back duly till now,repairs,9472,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,49,none,for free,1,unskilled - resident,2,none,yes,male,single,2
< 0 DM,7,critical account/ other credits existing (not at this bank),car (new),304,... < 100 DM,4 <= ... < 7 years,4,none,4,real estate,24,bank,own,2,unskilled - resident,2,none,yes,male,single,1
no checking account,7,no credits taken/ all credits paid back duly,car (new),2076,... < 100 DM,4 <= ... < 7 years,4,none,3,if not A121 : building society savings agreement/ life insurance,45,none,own,2,skilled employee / official,2,none,yes,male,single,2
no checking account,36,existing credits paid back duly till now,radio/television,1377,... < 100 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",41,none,own,3,skilled employee / official,1,none,yes,female,divorced/separated/married,1
0 <= ... < 200 DM,23,no credits taken/ all credits paid back duly,furniture/equipment,3235,... < 100 DM,... < 1 year,4,none,4,"if not A121/A122 : car or other, not in attribute 6",40,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,2
no checking account,37,critical account/ other credits existing (not at this bank),radio/television,7321,unknown/ no savings account,.. >= 7 years,4,none,4,real estate,45,none,for free,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,22,delay in paying off in the past,business,1930,unknown/ no savings account,.. >= 7 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
no checking account,31,existing credits paid back duly till now,car (new),3977,... < 100 DM,.. >= 7 years,3,guarantor,4,real estate,30,none,own,2,skilled employee / official,2,none,yes,male,single,1
no checking account,27,critical account/ other credits existing (not at this bank),business,1303,... < 100 DM,.. >= 7 years,4,none,3,real estate,57,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,divorced/separated,1
< 0 DM,10,critical account/ other credits existing (not at this bank),radio/television,3772,... < 100 DM,1 <= ... < 4 years,1,none,4,real estate,41,none,for free,2,unskilled - resident,2,none,yes,male,single,1
0 <= ... < 200 DM,51,critical account/ other credits existing (not at this bank),radio/television,3254,... < 100 DM,4 <= ... < 7 years,4,guarantor,4,if not A121 : building society savings agreement/ life insurance,23,none,own,2,skilled employee / official,2,none,yes,male,single,1
... >= 200 DM / salary assignments for at least 1 year,4,all credits at this bank paid back duly,car (new),766,... < 100 DM,4 <= ... < 7 years,3,guarantor,4,real estate,23,none,own,1,unskilled - resident,2,none,no,male,single,1
no checking account,42,critical account/ other credits existing (not at this bank),car (used),7468,unknown/ no savings account,4 <= ... < 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,42,none,own,2,unskilled - resident,2,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,23,critical account/ other credits existing (not at this bank),radio/television,2831,... < 100 DM,4 <= ... < 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,none,yes,male,single,1
no checking account,23,critical account/ other credits existing (not at this bank),business,1477,... < 100 DM,4 <= ... < 7 years,4,none,4,real estate,27,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,2
0 <= ... < 200 DM,14,critical account/ other credits existing (not at this bank),car (new),2072,unknown/ no savings account,.. >= 7 years,1,none,4,if not A121 : building society savings agreement/ life insurance,37,none,own,3,skilled employee / official,2,none,yes,male,single,1
< 0 DM,18,existing credits paid back duly till now,car (new),1694,500 <= ... < 1000 DM,.. >= 7 years,3,none,4,real estate,36,none,for free,2,skilled employee / official,2,none,yes,male,single,1
< 0 DM,10,critical account/ other credits existing (not at this bank),car (new),1505,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,41,stores,for free,2,skilled employee / official,2,none,yes,male,single,2
no checking account,51,critical account/ other credits existing (not at this bank),furniture/equipment,5303,unknown/ no savings account,... < 1 year,2,none,1,if not A121 : building society savings agreement/ life insurance,63,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single,1
no checking account,61,delay in paying off in the past,business,10008,unknown/ no savings account,.. >= 7 years,2,none,2,real estate,38,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
< 0 DM,27,delay in paying off in the past,car (used),2575,... < 100 DM,4 <= ... < 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
no checking account,13,critical account/ other credits existing (not at this bank),car (new),1982,... < 100 DM,1 <= ... < 4 years,4,none,4,unknown / no property,45,none,for free,2,unskilled - resident,2,none,yes,male,single,1
no checking account,12,critical account/ other credits existing (not at this bank),business,2355,unknown/ no savings account,1 <= ... < 4 years,2,none,4,real estate,48,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
no checking account,48,delay in paying off in the past,business,6859,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,25,none,own,2,skilled employee / official,1,none,yes,male,single,1
0 <= ... < 200 DM,14,delay in paying off in the past,repairs,1499,100 <= ... < 500 DM,.. >= 7 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single,2
0 <= ... < 200 DM,23,existing credits paid back duly till now,car (new),2695,... < 100 DM,1 <= ... < 4 years,2,none,2,unknown / no property,35,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married,1
no checking account,46,critical account/ other credits existing (not at this bank),business,5663,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",36,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,43,delay in paying off in the past,business,7600,100 <= ... < 500 DM,.. >= 7 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",43,none,own,2,unskilled - resident,2,"yes, registered under the customers name",yes,male,single,1
< 0 DM,10,critical account/ other credits existing (not at this bank),furniture/equipment,2883,... < 100 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,27,none,rent,2,skilled employee / official,1,none,yes,female,divorced/separated/married,1
0 <= ... < 200 DM,14,critical account/ other credits existing (not at this bank),car (new),2038,... < 100 DM,1 <= ... < 4 years,4,none,4,if not A121 : building society savings agreement/ life insurance,46,none,own,2,skilled employee / official,2,none,yes,male,divorced/separated,1
no checking account,14,critical account/ other credits existing (not at this bank),business,1896,... < 100 DM,4 <= ... < 7 years,4,none,4,real estate,43,stores,own,2,unskilled - resident,2,none,yes,male,single,1
< 0 DM,8,critical account/ other credits existing (not at this bank),car (new),955,... < 100 DM,.. >= 7 years,4,none,4,real estate,49,none,for free,2,skilled employee / official,2,none,yes,male,single,1
0 <= ... < 200 DM,23,existing credits paid back duly till now,furniture/equipment,1215,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,29,bank,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married,2
no checking account,13,critical account/ other credits existing (not at this bank),car (new),9421,... < 100 DM,4 <= ... < 7 years,4,none,4,real estate,39,none,own,2,unskilled - resident,2,none,no,male,single,1
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,464,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",24,bank,rent,1,unskilled - resident,2,none,yes,male,single,2
no checking account,24,all credits at this bank paid back duly,car (new),1349,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",44,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
no checking account,25,critical account/ other credits existing (not at this bank),car (new),1848,... < 100 DM,.. >= 7 years,3,co-applicant,4,"if not A121/A122 : car or other, not in attribute 6",44,none,own,2,skilled employee / official,2,none,yes,male,single,1
no checking account,12,existing credits paid back duly till now,radio/television,2585,... < 100 DM,4 <= ... < 7 years,4,none,3,real estate,27,none,own,2,skilled employee / official,2,none,yes,male,single,1
< 0 DM,22,critical account/ other credits existing (not at this bank),business,7768,... < 100 DM,1 <= ... < 4 years,4,none,4,real estate,26,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
no checking account,21,critical account/ other credits existing (not at this bank),furniture/equipment,6279,unknown/ no savings account,.. >= 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,62,none,own,2,unskilled - resident,2,none,yes,male,divorced/separated,1
0 <= ... < 200 DM,26,existing credits paid back duly till now,radio/television,3027,... < 100 DM,1 <= ... < 4 years,4,none,4,real estate,58,none,own,3,skilled employee / official,1,none,yes,male,single,2
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,1270,... < 100 DM,4 <= ... < 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,45,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,divorced/separated,1
no checking account,54,critical account/ other credits existing (not at this bank),business,8519,... < 100 DM,.. >= 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",36,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,15,delay in paying off in the past,furniture/equipment,8578,... < 100 DM,1 <= ... < 4 years,4,none,1,real estate,35,none,own,2,unskilled - resident,2,none,yes,male,single,1
< 0 DM,18,critical account/ other credits existing (not at this bank),education,879,... < 100 DM,.. >= 7 years,4,none,4,real estate,61,none,own,3,unskilled - resident,2,"yes, registered under the customers name",yes,male,single,1
no checking account,25,critical account/ other credits existing (not at this bank),business,6030,... < 100 DM,unemployed,4,none,3,"if not A121/A122 : car or other, not in attribute 6",31,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
no checking account,45,delay in paying off in the past,car (new),6640,unknown/ no savings account,.. >= 7 years,4,none,4,real estate,40,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
0 <= ... < 200 DM,17,critical account/ other credits existing (not at this bank),car (new),1432,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,49,none,for free,2,skilled employee / official,2,none,yes,male,single,1
0 <= ... < 200 DM,8,critical account/ other credits existing (not at this bank),furniture/equipment,1309,... < 100 DM,... < 1 year,2,none,3,if not A121 : building society savings agreement/ life insurance,35,none,own,2,unskilled - resident,2,none,yes,male,divorced/separated,1
< 0 DM,10,existing credits paid back duly till now,radio/television,1450,... < 100 DM,4 <= ... < 7 years,4,none,4,real estate,36,bank,for free,2,skilled employee / official,2,none,yes,male,single,1
< 0 DM,25,critical account/ other credits existing (not at this bank),furniture/equipment,3843,... < 100 DM,.. >= 7 years,4,none,3,if not A121 : building society savings agreement/ life insurance,52,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
< 0 DM,11,existing credits paid back duly till now,car (new),1702,... < 100 DM,.. >= 7 years,3,none,4,unknown / no property,42,none,for free,2,skilled employee / official,2,none,yes,male,single,1
0 <= ... < 200 DM,42,delay in paying off in the past,car (used),3341,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",45,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,2
0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),education,1296,.. >= 1000 DM,... < 1 year,4,none,3,real estate,49,stores,own,2,unskilled - resident,2,none,yes,male,single,1
< 0 DM,7,existing credits paid back duly till now,car (new),1915,... < 100 DM,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,43,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,2
0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,1264,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,47,bank,for free,2,skilled employee / official,2,none,yes,male,single,1
0 <= ... < 200 DM,17,existing credits paid back duly till now,car (new),2239,100 <= ... < 500 DM,... < 1 year,3,none,3,if not A121 : building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
